Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	fallback_count	fallback_weight
2A	100-150%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.126048	0.00580138	0.0505361	0.00465186	0.0505361	0.601686	0.0276926	0.127194	0.00585412	0	0	3	29604	15	158950
2A	150-200%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	6	48377.8	12	119074
2A	150-200%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	0	0	33	340583
2A	150-200%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.197503	0.00909011	0.0791845	0.00728895	0.0791845	0.600128	0.0276209	0	0	0	0	6	48377.8	10	101443
2A	200-300%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	7	41655.3	16	100019
2A	200-300%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.141655	0.00651968	0.054808	0.00504509	0.054808	0.460446	0.0211921	0.181449	0.00835121	0.0657258	0	1	10159.7	25	145367
2A	200-300%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.178101	0.00819712	0.000129995	1.19661e-05	0.000129995	0.582396	0.0268048	0.195243	0.00898608	0	0	6	31495.6	14	89819.4
2A	300-400%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	3	18864.9	19	118884
2A	300-400%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.141655	0.00651968	0.054808	0.00504509	0.054808	0.460446	0.0211921	0.181449	0.00835121	0.0657258	0	2	13253.9	25	145367
2A	300-400%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.167629	0.00771515	0.000122352	1.12625e-05	0.000122352	0.604363	0.0278159	0.183763	0.00845772	0	0	1	5611.08	15	95430.5
2A	400%+	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	4	24451.9	12	145832
2A	400%+	Multi-Family with 2 - 4 Units	Owner	1960-79	0.219257	0.0100913	0.0266442	0.0024526	0.0266442	0.292832	0.0134776	0.0452172	0.00208113	0.361303	0	2	10863.1	14	95696.9
2A	400%+	Multi-Family with 2 - 4 Units	Renter	1960-79	0.410378	0.0188877	0.0054326	0.000500072	0.0054326	0.435732	0.0200546	0.099024	0.00455759	0	0	2	13588.8	25	174139
2A	Not Available	Multi-Family with 2 - 4 Units	Not Available	1960-79	0.0960869	0.00442241	0.0624956	0.00575273	0.0624956	0.459704	0.0211579	0.275218	0.0126669	0	0	22	249242	22	249242
2A	Not Available	Multi-Family with 2 - 4 Units	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	3	34276.7	33	340583
2A	Not Available	Multi-Family with 2 - 4 Units	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	19	214965	19	214965
2A	0-100%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	12	115290	12	115290
2A	0-100%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.392234	0.0180526	0.0767556	0.00647695	0.0639709	0.336149	0.0154713	0.0221698	0.00102037	0.067699	0	0	0	26	329183
2A	0-100%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.310901	0.0143092	0	0	0	0.380266	0.0175018	0.264833	0.012189	0	0	12	115290	12	115290
2A	100-150%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	7	52032.6	17	188167
2A	100-150%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.392234	0.0180526	0.0767556	0.00647695	0.0639709	0.336149	0.0154713	0.0221698	0.00102037	0.067699	0	0	0	26	329183
2A	100-150%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.22747	0.0104693	0.100306	0.00794563	0.0723306	0.478554	0.0220255	0.077339	0.00355953	0	0	7	52032.6	16	171913
2A	150-200%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	6	47717.7	10	99540.8
2A	150-200%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.392234	0.0180526	0.0767556	0.00647695	0.0639709	0.336149	0.0154713	0.0221698	0.00102037	0.067699	0	0	0	26	329183
2A	150-200%	Multi-Family with 2 - 4 Units	Renter	1980-99	0	0	0.186028	0.0171239	0.186028	0.418104	0.0192433	0.165839	0.00763277	0	0	6	47717.7	10	99540.8
2A	200-300%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	6	27011.3	24	135756
2A	200-300%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.305286	0.0140508	0	0	0	0.58219	0.0267954	0.00471196	0.000216868	0.0667492	0	1	5746.15	17	115415
2A	200-300%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.012666	0.000582955	0.135439	0.0106087	0.0950605	0.375401	0.0172779	0.337434	0.0155304	0	0	5	21265.2	20	119062
2A	300-400%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	3	25225.9	20	233439
2A	300-400%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.305286	0.0140508	0	0	0	0.58219	0.0267954	0.00471196	0.000216868	0.0667492	0	1	5315.35	17	115415
2A	300-400%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.0837884	0.00385637	0.130441	0.0101748	0.0906292	0.411139	0.0189227	0.18831	0.00866697	0.0540718	0	2	19910.6	16	189406
2A	400%+	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	4	32392	23	269201
2A	400%+	Multi-Family with 2 - 4 Units	Owner	1980-99	0.534169	0.0245852	0.0518817	0.00367363	0.0279363	0.233659	0.0107542	0.0290391	0.00133653	0.0829655	0	1	5338.63	13	175754
2A	400%+	Multi-Family with 2 - 4 Units	Renter	1980-99	0.218626	0.0100623	0.110563	0.00897072	0.0843462	0.451508	0.0207807	0.0908642	0.00418203	9.67213e-05	0	3	27053.3	14	134986
2A	Not Available	Multi-Family with 2 - 4 Units	Not Available	1980-99	0.138301	0.00636534	0.0610917	0.00507998	0.0492824	0.437877	0.0201533	0.236734	0.0108957	0.0342196	0	27	299670	27	299670
2A	Not Available	Multi-Family with 2 - 4 Units	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	2	16400.1	15	228724
2A	Not Available	Multi-Family with 2 - 4 Units	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	25	283270	25	283270
2A	0-100%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	5	52668.4	24	237585
2A	0-100%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.331786	0.0152705	0.105158	0.0120997	0.157736	0.249455	0.0114812	0.111865	0.00514858	0	0	0	0	15	148214
2A	0-100%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.277506	0.0127722	0.0477539	0.0054947	0.0716309	0.397402	0.0182905	0.161707	0.00744259	0	0	5	52668.4	21	201252
2A	100-150%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	6	51101.6	15	129894
2A	100-150%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.331786	0.0152705	0.105158	0.0120997	0.157736	0.249455	0.0114812	0.111865	0.00514858	0	0	0	0	15	148214
2A	100-150%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.36378	0.016743	0.0219798	0.00252906	0.0329697	0.361962	0.0166594	0.175308	0.00806859	0	0	6	51101.6	12	93560.9
2A	150-200%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	3	8993.59	15	129894
2A	150-200%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.331786	0.0152705	0.105158	0.0120997	0.157736	0.249455	0.0114812	0.111865	0.00514858	0	0	1	6522.2	15	148214
2A	150-200%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.36378	0.016743	0.0219798	0.00252906	0.0329697	0.361962	0.0166594	0.175308	0.00806859	0	0	2	2471.39	12	93560.9
2A	200-300%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	3	22770.4	16	134124
2A	200-300%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.0289061	0.00133041	0.128759	0.0148153	0.193138	0.428207	0.0197083	0.176991	0.00814602	0	0	1	1878.14	11	71741.2
2A	200-300%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.0717374	0.00330172	0.0861458	0.00991218	0.129219	0.404135	0.0186004	0.264763	0.0121857	0	0	2	20892.3	11	98523
2A	300-400%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	1	6366.38	22	200024
2A	300-400%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.0289061	0.00133041	0.128759	0.0148153	0.193138	0.428207	0.0197083	0.176991	0.00814602	0	0	0	0	11	71741.2
2A	300-400%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.113501	0.0052239	0.0904951	0.0104126	0.135743	0.430013	0.0197914	0.186248	0.0085721	0	0	1	6366.38	15	140056
2A	400%+	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	3	20241.2	18	207233
2A	400%+	Multi-Family with 2 - 4 Units	Owner	2000-09	0.331786	0.0152705	0.105158	0.0120997	0.157736	0.249455	0.0114812	0.111865	0.00514858	0	0	1	4061.07	15	148214
2A	400%+	Multi-Family with 2 - 4 Units	Renter	2000-09	0.0710619	0.00327063	0.148091	0.0170398	0.222137	0.459096	0.0211299	0.055614	0.00255964	0	0	2	16180.1	15	188438
2A	Not Available	Multi-Family with 2 - 4 Units	Not Available	2000-09	0.208407	0.00959195	0.0410925	0.00472821	0.0616387	0.393801	0.0181247	0.251061	0.0115551	0	0	17	162142	17	162142
2A	Not Available	Multi-Family with 2 - 4 Units	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	2	12461.4	15	148214
2A	Not Available	Multi-Family with 2 - 4 Units	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	15	149680	15	149680
2A	0-100%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	2	15207	10	125521
2A	0-100%	Multi-Family with 2 - 4 Units	Owner	2010s	0.295313	0.0135918	0	0.0107277	0.233083	0.236752	0.0108965	0.187949	0.00865039	0.00303583	0	0	0	56	638711
2A	0-100%	Multi-Family with 2 - 4 Units	Renter	2010s	0.277502	0.0127721	0	0.00589848	0.128158	0.355119	0.0163444	0.195221	0.00898508	0	0	2	15207	10	125521
2A	100-150%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	2	11828	13	119804
2A	100-150%	Multi-Family with 2 - 4 Units	Owner	2010s	0.295313	0.0135918	0	0.0107277	0.233083	0.236752	0.0108965	0.187949	0.00865039	0.00303583	0	0	0	56	638711
2A	100-150%	Multi-Family with 2 - 4 Units	Renter	2010s	0.482782	0.0222201	0	0.0133218	0.289447	0.0557229	0.00256465	0.128048	0.00589344	0	0	2	11828	13	119804
2A	150-200%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	1	6773.25	13	119804
2A	150-200%	Multi-Family with 2 - 4 Units	Owner	2010s	0.295313	0.0135918	0	0.0107277	0.233083	0.236752	0.0108965	0.187949	0.00865039	0.00303583	0	0	0	56	638711
2A	150-200%	Multi-Family with 2 - 4 Units	Renter	2010s	0.482782	0.0222201	0	0.0133218	0.289447	0.0557229	0.00256465	0.128048	0.00589344	0	0	1	6773.25	13	119804
2A	200-300%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	1	10955.2	11	112189
2A	200-300%	Multi-Family with 2 - 4 Units	Owner	2010s	0.295313	0.0135918	0	0.0107277	0.233083	0.236752	0.0108965	0.187949	0.00865039	0.00303583	0	0	0	56	638711
2A	200-300%	Multi-Family with 2 - 4 Units	Renter	2010s	0.196098	0.00902545	0	0.012774	0.277545	0.266281	0.0122556	0.216076	0.0099449	0	0	1	10955.2	11	112189
2A	300-400%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	11	112189
2A	300-400%	Multi-Family with 2 - 4 Units	Owner	2010s	0.295313	0.0135918	0	0.0107277	0.233083	0.236752	0.0108965	0.187949	0.00865039	0.00303583	0	0	0	56	638711
2A	300-400%	Multi-Family with 2 - 4 Units	Renter	2010s	0.196098	0.00902545	0	0.012774	0.277545	0.266281	0.0122556	0.216076	0.0099449	0	0	0	0	11	112189
2A	400%+	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	21	225863
2A	400%+	Multi-Family with 2 - 4 Units	Owner	2010s	0.295313	0.0135918	0	0.0107277	0.233083	0.236752	0.0108965	0.187949	0.00865039	0.00303583	0	0	0	56	638711
2A	400%+	Multi-Family with 2 - 4 Units	Renter	2010s	0.195045	0.00897696	0	0.012366	0.268679	0.311682	0.0143452	0.180594	0.00831185	0	0	0	0	20	212503
2A	Not Available	Multi-Family with 2 - 4 Units	Not Available	2010s	0.289507	0.0133246	0	0.010966	0.238261	0.252595	0.0116257	0.175638	0.00808375	0	0	5	44763.5	45	583377
2A	Not Available	Multi-Family with 2 - 4 Units	Owner	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	56	638711
2A	Not Available	Multi-Family with 2 - 4 Units	Renter	2010s	0	0	0	0	0	0	0	0	0	0	1	5	44763.5	44	570017
2A	0-100%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	1	4940.09	18	134653
2A	0-100%	Multi-Family with 2 - 4 Units	Owner	<1940	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	0-100%	Multi-Family with 2 - 4 Units	Renter	<1940	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	1	4940.09	15	118388
2A	100-150%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	18	134653
2A	100-150%	Multi-Family with 2 - 4 Units	Owner	<1940	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	100-150%	Multi-Family with 2 - 4 Units	Renter	<1940	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	0	0	15	118388
2A	150-200%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	1	6810.53	18	134653
2A	150-200%	Multi-Family with 2 - 4 Units	Owner	<1940	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	150-200%	Multi-Family with 2 - 4 Units	Renter	<1940	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	1	6810.53	15	118388
2A	200-300%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	1	1871.38	12	57178.9
2A	200-300%	Multi-Family with 2 - 4 Units	Owner	<1940	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	200-300%	Multi-Family with 2 - 4 Units	Renter	<1940	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	1	1871.38	22	210628
2A	300-400%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	12	57178.9
2A	300-400%	Multi-Family with 2 - 4 Units	Owner	<1940	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	300-400%	Multi-Family with 2 - 4 Units	Renter	<1940	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	0	0	22	210628
2A	400%+	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	1	10073	27	247382
2A	400%+	Multi-Family with 2 - 4 Units	Owner	<1940	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	400%+	Multi-Family with 2 - 4 Units	Renter	<1940	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	1	10073	22	210628
2A	Not Available	Multi-Family with 2 - 4 Units	Not Available	<1940	0.0908394	0.00418089	0.0774725	0.00713136	0.0774725	0.546843	0.0251685	0.102229	0.00470512	0.0639578	0	3	23695	12	147031
2A	Not Available	Multi-Family with 2 - 4 Units	Owner	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	27	247382
2A	Not Available	Multi-Family with 2 - 4 Units	Renter	<1940	0	0	0	0	0	0	0	0	0	0	1	3	23695	10	129519
2A	0-100%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	4	32879.8	18	134653
2A	0-100%	Multi-Family with 5+ Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	0-100%	Multi-Family with 5+ Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	4	32879.8	15	118388
2A	100-150%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	1	9.4489	18	134653
2A	100-150%	Multi-Family with 5+ Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	100-150%	Multi-Family with 5+ Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	1	9.4489	15	118388
2A	150-200%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	1	16414.8	18	134653
2A	150-200%	Multi-Family with 5+ Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	150-200%	Multi-Family with 5+ Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	1	16414.8	15	118388
2A	200-300%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	2	13837.9	12	57178.9
2A	200-300%	Multi-Family with 5+ Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	1	9111.08	27	247382
2A	200-300%	Multi-Family with 5+ Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	1	4726.84	22	210628
2A	300-400%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	12	57178.9
2A	300-400%	Multi-Family with 5+ Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
2A	300-400%	Multi-Family with 5+ Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	0	0	22	210628
2A	400%+	Multi-Family with 5+ Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	3	9123.6	27	247382
2A	400%+	Multi-Family with 5+ Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	1	2343.6	27	247382
2A	400%+	Multi-Family with 5+ Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	2	6780	22	210628
2A	Not Available	Multi-Family with 5+ Units	Not Available	1940-59	0.0908394	0.00418089	0.0774725	0.00713136	0.0774725	0.546843	0.0251685	0.102229	0.00470512	0.0639578	0	9	72265.6	12	147031
2A	Not Available	Multi-Family with 5+ Units	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	2	11454.7	27	247382
2A	Not Available	Multi-Family with 5+ Units	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	7	60810.9	10	129519
2A	0-100%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	8	116413	16	202700
2A	0-100%	Multi-Family with 5+ Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	1	14894.7	33	340583
2A	0-100%	Multi-Family with 5+ Units	Renter	1960-79	0.146875	0.00675994	0.0269398	0.00247982	0.0269398	0.420896	0.0193718	0.334349	0.0153885	0	0	7	101518	15	187806
2A	100-150%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	4	60202	19	208880
2A	100-150%	Multi-Family with 5+ Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	2	32299.3	33	340583
2A	100-150%	Multi-Family with 5+ Units	Renter	1960-79	0.126048	0.00580138	0.0505361	0.00465186	0.0505361	0.601686	0.0276926	0.127194	0.00585412	0	0	2	27902.7	15	158950
2A	150-200%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	6	70696.3	12	119074
2A	150-200%	Multi-Family with 5+ Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	2	17631.1	33	340583
2A	150-200%	Multi-Family with 5+ Units	Renter	1960-79	0.197503	0.00909011	0.0791845	0.00728895	0.0791845	0.600128	0.0276209	0	0	0	0	4	53065.1	10	101443
2A	200-300%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	9	58363.6	16	100019
2A	200-300%	Multi-Family with 5+ Units	Owner	1960-79	0.141655	0.00651968	0.054808	0.00504509	0.054808	0.460446	0.0211921	0.181449	0.00835121	0.0657258	0	1	39.781	25	145367
2A	200-300%	Multi-Family with 5+ Units	Renter	1960-79	0.178101	0.00819712	0.000129995	1.19661e-05	0.000129995	0.582396	0.0268048	0.195243	0.00898608	0	0	8	58323.9	14	89819.4
2A	300-400%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	19	118884
2A	300-400%	Multi-Family with 5+ Units	Owner	1960-79	0.141655	0.00651968	0.054808	0.00504509	0.054808	0.460446	0.0211921	0.181449	0.00835121	0.0657258	0	0	0	25	145367
2A	300-400%	Multi-Family with 5+ Units	Renter	1960-79	0.167629	0.00771515	0.000122352	1.12625e-05	0.000122352	0.604363	0.0278159	0.183763	0.00845772	0	0	0	0	15	95430.5
2A	400%+	Multi-Family with 5+ Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	8	121381	12	145832
2A	400%+	Multi-Family with 5+ Units	Owner	1960-79	0.219257	0.0100913	0.0266442	0.0024526	0.0266442	0.292832	0.0134776	0.0452172	0.00208113	0.361303	0	2	26744.6	14	95696.9
2A	400%+	Multi-Family with 5+ Units	Renter	1960-79	0.410378	0.0188877	0.0054326	0.000500072	0.0054326	0.435732	0.0200546	0.099024	0.00455759	0	0	6	94635.9	25	174139
2A	Not Available	Multi-Family with 5+ Units	Not Available	1960-79	0.301843	0.0138924	0.0355084	0.00326856	0.0355084	0.428328	0.0197139	0.0949415	0.00436969	0.0626257	0	28	427055	28	427055
2A	Not Available	Multi-Family with 5+ Units	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	6	91609.6	33	340583
2A	Not Available	Multi-Family with 5+ Units	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	22	335446	22	335446
2A	0-100%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	15	173745	15	173745
2A	0-100%	Multi-Family with 5+ Units	Owner	1980-99	0.392234	0.0180526	0.0767556	0.00647695	0.0639709	0.336149	0.0154713	0.0221698	0.00102037	0.067699	0	1	17529.6	26	329183
2A	0-100%	Multi-Family with 5+ Units	Renter	1980-99	0	0	0.186763	0.014802	0.134843	0.430038	0.0197926	0.204355	0.00940548	0	0	14	156215	14	156215
2A	100-150%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	10	136134	10	136134
2A	100-150%	Multi-Family with 5+ Units	Owner	1980-99	0.392234	0.0180526	0.0767556	0.00647695	0.0639709	0.336149	0.0154713	0.0221698	0.00102037	0.067699	0	1	16253.3	26	329183
2A	100-150%	Multi-Family with 5+ Units	Renter	1980-99	0.22747	0.0104693	0.100306	0.00794563	0.0723306	0.478554	0.0220255	0.077339	0.00355953	0	0	9	119881	16	171913
2A	150-200%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	4	51823.2	10	99540.8
2A	150-200%	Multi-Family with 5+ Units	Owner	1980-99	0.392234	0.0180526	0.0767556	0.00647695	0.0639709	0.336149	0.0154713	0.0221698	0.00102037	0.067699	0	0	0	26	329183
2A	150-200%	Multi-Family with 5+ Units	Renter	1980-99	0	0	0.186028	0.0171239	0.186028	0.418104	0.0192433	0.165839	0.00763277	0	0	4	51823.2	10	99540.8
2A	200-300%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	18	108744	18	108744
2A	200-300%	Multi-Family with 5+ Units	Owner	1980-99	0.305286	0.0140508	0	0	0	0.58219	0.0267954	0.00471196	0.000216868	0.0667492	0	3	10947.3	17	115415
2A	200-300%	Multi-Family with 5+ Units	Renter	1980-99	0.0154201	0.000709714	0.164889	0.0129155	0.115731	0.379694	0.0174754	0.280267	0.0128993	0	0	15	97797	15	97797
2A	300-400%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	17	208213	17	208213
2A	300-400%	Multi-Family with 5+ Units	Owner	1980-99	0.305286	0.0140508	0	0	0	0.58219	0.0267954	0.00471196	0.000216868	0.0667492	0	3	38717.2	17	115415
2A	300-400%	Multi-Family with 5+ Units	Renter	1980-99	0.093631	0.00430938	0.145764	0.01137	0.101275	0.459435	0.0211456	0.155894	0.00717505	0	0	14	169496	14	169496
2A	400%+	Multi-Family with 5+ Units	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	19	236809	19	236809
