Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	Option=Solar Thermal	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	Electricity	OH	0.724623	0	0.22222	0	0.053157	0	0	19	355548	19	355548
Single-Family Attached	Electricity	OH	0.953488	0	0	0	0.0465116	0	0	5	33791	40	489602
Single-Family Detached	Electricity	OH	0.95004	0	0	0	0.0499597	0	0	35	455811	35	455811
Mobile Home	Electricity	OK	0.820521	0	0.125442	0	0.0540372	0	0	8	57386.4	68	419966
Multi-Family with 2 - 4 Units	Electricity	OK	0.881538	0	0.118462	0	0	0	0	4	27806.3	17	158514
Multi-Family with 5+ Units	Electricity	OK	0.856337	0	0.143663	0	0	0	0	13	130707	13	130707
Single-Family Attached	Electricity	OK	0.809203	0	0.128207	0	0.0625898	0	0	5	16167.8	60	362579
Single-Family Detached	Electricity	OK	0.826915	0	0.115906	0	0.0571794	0	0	55	346411	55	346411
Mobile Home	Electricity	OR	0.903306	0	0.0496674	0	0.0470262	0	0	18	95445.8	18	95445.8
Multi-Family with 2 - 4 Units	Electricity	OR	0.975222	0	0.0247781	0	0	0	0	5	33744.9	40	282959
Multi-Family with 5+ Units	Electricity	OR	0.971867	0	0.0281332	0	0	0	0	35	249214	35	249214
Single-Family Attached	Electricity	OR	0.915204	0	0.0847955	0	0	0	0	13	45870.7	13	45870.7
Single-Family Detached	Electricity	OR	0.925839	0	0.0583606	0	0.0158003	0	0	63	318129	63	318129
Mobile Home	Electricity	PA	0.869344	0.0493689	0.0394276	0.0087317	0.033128	0	0	4	32282.7	98	724186
Multi-Family with 2 - 4 Units	Electricity	PA	1	0	0	0	0	0	0	13	160527	13	160527
Multi-Family with 5+ Units	Electricity	PA	0.856904	0	0.143096	0	0	0	0	46	456977	46	456977
Single-Family Attached	Electricity	PA	0.949161	0	0.0508395	0	0	0	0	18	129289	18	129289
Single-Family Detached	Electricity	PA	0.843505	0.0635467	0.0390675	0.0112393	0.0426417	0	0	76	562614	76	562614
Mobile Home	Electricity	RI	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	RI	0.691559	0	0.190816	0	0.117625	0	0	3	11098.3	13	40742.4
Multi-Family with 5+ Units	Electricity	RI	0.737746	0	0.262254	0	0	0	0	10	29644.1	10	29644.1
Single-Family Attached	Electricity	RI	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	1	1280.25	81	232624
Single-Family Detached	Electricity	RI	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	6	11204.8	81	232624
Mobile Home	Electricity	SC	1	0	0	0	0	0	0	32	226042	32	226042
Multi-Family with 2 - 4 Units	Electricity	SC	1	0	0	0	0	0	0	16	92745.6	16	92745.6
Multi-Family with 5+ Units	Electricity	SC	0.906755	0	0.0932445	0	0	0	0	22	164900	22	164900
Single-Family Attached	Electricity	SC	0.942443	0	0.0575569	0	0	0	0	13	54900.8	13	54900.8
Single-Family Detached	Electricity	SC	0.894869	0	0.0831264	0	0.0220044	0	0	126	725138	126	725138
Mobile Home	Electricity	SD	0.924674	0	0.075326	0	0	0	0	1	1977.05	28	50166.2
Multi-Family with 2 - 4 Units	Electricity	SD	0.915847	0	0.0841533	0	0	0	0	3	8765.09	12	34861
Multi-Family with 5+ Units	Electricity	SD	0.915847	0	0.0841533	0	0	0	0	9	26095.9	12	34861
Single-Family Attached	Electricity	SD	0.921584	0	0.0784164	0	0	0	0	1	1568.2	27	48189.1
Single-Family Detached	Electricity	SD	0.918946	0	0.0810541	0	0	0	0	26	46620.9	26	46620.9
Mobile Home	Electricity	TN	1	0	0	0	0	0	0	35	178171	35	178171
Multi-Family with 2 - 4 Units	Electricity	TN	0.8047	0	0.0747301	0	0.12057	0	0	16	98968	16	98968
Multi-Family with 5+ Units	Electricity	TN	0.962352	0	0.0376478	0	0	0	0	39	297286	39	297286
Single-Family Attached	Electricity	TN	1	0	0	0	0	0	0	16	35470.2	16	35470.2
Single-Family Detached	Electricity	TN	0.938874	0	0.0442047	0	0.0169209	0	0	188	996790	188	996790
Mobile Home	Electricity	TX	0.844939	0	0.0976183	0	0.057443	0	0	37	427616	37	427616
Multi-Family with 2 - 4 Units	Electricity	TX	0.883812	0	0.0946381	0	0.0215501	0	0	44	475739	44	475739
Multi-Family with 5+ Units	Electricity	TX	0.833613	0	0.150288	0	0.0160996	0	0	105	1.57921e+06	105	1.57921e+06
Single-Family Attached	Electricity	TX	0.882679	0.0385826	0.0787385	0	0	0	0	28	124769	28	124769
Single-Family Detached	Electricity	TX	0.838467	0	0.125818	0	0.035715	0	0	278	2.66259e+06	278	2.66259e+06
Mobile Home	Electricity	UT	0.82491	0	0.1508	0	0.0146703	0.00961973	0	0	0	120	340701
Multi-Family with 2 - 4 Units	Electricity	UT	0.770409	0	0.229591	0	0	0	0	2	24353.4	72	481991
Multi-Family with 5+ Units	Electricity	UT	0.770409	0	0.229591	0	0	0	0	6	66581.6	72	481991
Single-Family Attached	Electricity	UT	0.82491	0	0.1508	0	0.0146703	0.00961973	0	1	4093.06	120	340701
Single-Family Detached	Electricity	UT	0.82491	0	0.1508	0	0.0146703	0.00961973	0	8	38597.5	120	340701
Mobile Home	Electricity	VA	1	0	0	0	0	0	0	20	178502	20	178502
Multi-Family with 2 - 4 Units	Electricity	VA	1	0	0	0	0	0	0	15	112573	15	112573
Multi-Family with 5+ Units	Electricity	VA	0.764979	0	0.235021	0	0	0	0	41	409010	41	409010
Single-Family Attached	Electricity	VA	0.929137	0	0.0377822	0	0.0330808	0	0	24	119264	24	119264
Single-Family Detached	Electricity	VA	0.90602	0.00944453	0.042315	0	0.0422206	0	0	116	808055	116	808055
Mobile Home	Electricity	VT	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	VT	0.729532	0	0.224161	0.0108882	0.0296502	0.00576851	0	2	3186.1	119	674684
Multi-Family with 5+ Units	Electricity	VT	0.729532	0	0.224161	0.0108882	0.0296502	0.00576851	0	7	8381.2	119	674684
Single-Family Attached	Electricity	VT	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	0	0	81	232624
Single-Family Detached	Electricity	VT	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	6	5034.55	81	232624
Mobile Home	Electricity	WA	0.967725	0	0	0	0.0322749	0	0	22	156503	22	156503
Multi-Family with 2 - 4 Units	Electricity	WA	1	0	0	0	0	0	0	16	161459	16	161459
Multi-Family with 5+ Units	Electricity	WA	0.942895	0	0.013357	0	0.0437482	0	0	65	577585	65	577585
Single-Family Attached	Electricity	WA	0.873961	0	0.126039	0	0	0	0	13	54027.3	13	54027.3
Single-Family Detached	Electricity	WA	0.915752	0	0.0593124	0	0.0249358	0	0	111	680368	111	680368
Mobile Home	Electricity	WI	0.802145	0	0.197855	0	0	0	0	0	0	13	79069.2
Multi-Family with 2 - 4 Units	Electricity	WI	0.906802	0	0.0931976	0	0	0	0	7	74964.5	28	253054
Multi-Family with 5+ Units	Electricity	WI	0.917077	0	0.0829228	0	0	0	0	21	178090	21	178090
Single-Family Attached	Electricity	WI	0.802145	0	0.197855	0	0	0	0	2	7346.89	13	79069.2
Single-Family Detached	Electricity	WI	0.844058	0	0.155942	0	0	0	0	11	71722.3	11	71722.3
Mobile Home	Electricity	WV	1	0	0	0	0	0	0	20	80792.5	20	80792.5
