Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Not Available	Mobile Home	SC	Not Available	0.375116	0.624884	0	40	284669	40	284669
Not Available	Mobile Home	SC	Owner	0	0	1	31	223115	31	223115
Not Available	Mobile Home	SC	Renter	0	0	1	9	61553.3	54	516632
0-100%	Mobile Home	SD	Not Available	0	0	1	3	6036.02	27	136916
0-100%	Mobile Home	SD	Owner	0.510318	0.489682	0	1	2289.1	21	97626.2
0-100%	Mobile Home	SD	Renter	0.183776	0.816224	0	2	3746.93	39	214186
100-150%	Mobile Home	SD	Not Available	0	0	1	2	2430.81	24	75048.4
100-150%	Mobile Home	SD	Owner	0.513175	0.486825	0	1	2107.42	19	64797.7
100-150%	Mobile Home	SD	Renter	0.548762	0.451238	0	1	323.391	36	94079.5
150-200%	Mobile Home	SD	Not Available	0	0	1	2	2088.33	10	25547
150-200%	Mobile Home	SD	Owner	0.665744	0.334256	0	2	2088.33	154	445824
150-200%	Mobile Home	SD	Renter	0.424833	0.575167	0	0	0	39	95242.9
200-300%	Mobile Home	SD	Not Available	0	0	1	3	3643.15	18	71679.5
200-300%	Mobile Home	SD	Owner	0.869844	0.130156	0	2	1747.61	14	55902.7
200-300%	Mobile Home	SD	Renter	0.612731	0.387269	0	1	1895.54	51	158461
300-400%	Mobile Home	SD	Not Available	0	0	1	1	211.827	377	1.01343e+06
300-400%	Mobile Home	SD	Owner	0.670587	0.329413	0	1	211.827	345	939314
300-400%	Mobile Home	SD	Renter	0.476399	0.523601	0	0	0	32	74117.6
400%+	Mobile Home	SD	Not Available	0	0	1	1	1765.22	10	21991.1
400%+	Mobile Home	SD	Owner	0.956246	0.0437541	0	1	1765.22	10	21991.1
400%+	Mobile Home	SD	Renter	0.353907	0.646093	0	0	0	55	174172
Not Available	Mobile Home	SD	Not Available	0.580697	0.419303	0	8	16175.4	68	348737
Not Available	Mobile Home	SD	Owner	0	0	1	5	10209.5	55	272686
Not Available	Mobile Home	SD	Renter	0	0	1	3	5965.86	13	76050.8
0-100%	Mobile Home	TN	Not Available	0	0	1	18	74967.5	18	74967.5
0-100%	Mobile Home	TN	Owner	0.469524	0.530476	0	8	33657.4	36	189600
0-100%	Mobile Home	TN	Renter	0.521497	0.478503	0	10	41310.1	10	41310.1
100-150%	Mobile Home	TN	Not Available	0	0	1	11	38445.7	11	38445.7
100-150%	Mobile Home	TN	Owner	0.550883	0.449117	0	8	26760.8	25	82902.8
100-150%	Mobile Home	TN	Renter	0.35777	0.64223	0	3	11685	48	169588
150-200%	Mobile Home	TN	Not Available	0	0	1	9	34042.1	29	128149
150-200%	Mobile Home	TN	Owner	0.377136	0.622864	0	6	19237	20	91910.6
150-200%	Mobile Home	TN	Renter	0.247495	0.752505	0	3	14805.1	36	101315
200-300%	Mobile Home	TN	Not Available	0	0	1	9	23877.5	35	109305
200-300%	Mobile Home	TN	Owner	0.28381	0.71619	0	7	19020.9	29	89660.6
200-300%	Mobile Home	TN	Renter	0.131308	0.868692	0	2	4856.66	47	146494
300-400%	Mobile Home	TN	Not Available	0	0	1	8	21537.3	16	52300.6
300-400%	Mobile Home	TN	Owner	0.48826	0.51174	0	7	16565.5	15	47328.8
300-400%	Mobile Home	TN	Renter	0.355061	0.644939	0	1	4971.76	21	65465.7
400%+	Mobile Home	TN	Not Available	0	0	1	9	28847.3	20	68860.9
400%+	Mobile Home	TN	Owner	0.668375	0.331625	0	8	28838.5	19	68852.2
400%+	Mobile Home	TN	Renter	0.17263	0.82737	0	1	8.77003	37	130134
Not Available	Mobile Home	TN	Not Available	0.486651	0.513349	0	43	221717	43	221717
Not Available	Mobile Home	TN	Owner	0	0	1	28	144080	28	144080
Not Available	Mobile Home	TN	Renter	0	0	1	15	77637.3	15	77637.3
0-100%	Mobile Home	TX	Not Available	0	0	1	17	198820	17	198820
0-100%	Mobile Home	TX	Owner	0.169991	0.830009	0	12	146798	12	146798
0-100%	Mobile Home	TX	Renter	0.195535	0.804465	0	5	52022.6	16	120782
100-150%	Mobile Home	TX	Not Available	0	0	1	15	101305	15	101305
100-150%	Mobile Home	TX	Owner	0.275023	0.724977	0	12	84649.9	12	84649.9
100-150%	Mobile Home	TX	Renter	0.393293	0.606707	0	3	16655.2	10	55783.7
150-200%	Mobile Home	TX	Not Available	0	0	1	14	109723	14	109723
150-200%	Mobile Home	TX	Owner	0.35465	0.64535	0	12	91805.6	12	91805.6
150-200%	Mobile Home	TX	Renter	0.322535	0.677465	0	2	17917	58	216331
200-300%	Mobile Home	TX	Not Available	0	0	1	12	70440.7	12	70440.7
200-300%	Mobile Home	TX	Owner	0.320671	0.679329	0	12	70440.7	12	70440.7
200-300%	Mobile Home	TX	Renter	0.32249	0.67751	0	0	0	66	315078
300-400%	Mobile Home	TX	Not Available	0	0	1	7	46534.3	13	66187.2
300-400%	Mobile Home	TX	Owner	0.75958	0.24042	0	7	46534.3	12	59502.6
300-400%	Mobile Home	TX	Renter	0.316754	0.683246	0	0	0	40	170434
400%+	Mobile Home	TX	Not Available	0	0	1	10	89080.1	10	89080.1
400%+	Mobile Home	TX	Owner	0.793266	0.206734	0	10	89080.1	10	89080.1
400%+	Mobile Home	TX	Renter	0.286085	0.713915	0	0	0	45	228780
Not Available	Mobile Home	TX	Not Available	0.356683	0.643317	0	52	615903	52	615903
Not Available	Mobile Home	TX	Owner	0	0	1	44	529308	44	529308
Not Available	Mobile Home	TX	Renter	0	0	1	8	86594.8	29	220709
0-100%	Mobile Home	UT	Not Available	0	0	1	2	6473.4	27	66715.9
0-100%	Mobile Home	UT	Owner	0.305056	0.694944	0	2	6473.4	17	44303.3
0-100%	Mobile Home	UT	Renter	0.165999	0.834001	0	0	0	10	22412.6
100-150%	Mobile Home	UT	Not Available	0	0	1	2	2626.15	24	42724.6
100-150%	Mobile Home	UT	Owner	0.38262	0.61738	0	2	2626.15	23	42107.8
100-150%	Mobile Home	UT	Renter	0.450077	0.549923	0	0	0	26	66431.4
150-200%	Mobile Home	UT	Not Available	0	0	1	0	0	19	38522.7
150-200%	Mobile Home	UT	Owner	0.630869	0.369131	0	0	0	14	22435.2
150-200%	Mobile Home	UT	Renter	0.27831	0.72169	0	0	0	24	53412
200-300%	Mobile Home	UT	Not Available	0	0	1	2	10549.5	23	42195
200-300%	Mobile Home	UT	Owner	0.407047	0.592953	0	2	10549.5	16	34442.5
200-300%	Mobile Home	UT	Renter	0.169105	0.830895	0	0	0	42	86389
300-400%	Mobile Home	UT	Not Available	0	0	1	1	2705.54	16	29863
300-400%	Mobile Home	UT	Owner	0.894737	0.105263	0	1	2705.54	14	27350.9
300-400%	Mobile Home	UT	Renter	0.431251	0.568749	0	0	0	35	73023.5
400%+	Mobile Home	UT	Not Available	0	0	1	1	2413.88	16	22134.8
400%+	Mobile Home	UT	Owner	0.885267	0.114733	0	1	2413.88	15	21258.9
400%+	Mobile Home	UT	Renter	0.279563	0.720437	0	0	0	45	121209
Not Available	Mobile Home	UT	Not Available	0.466927	0.533073	0	5	24768.5	82	242156
Not Available	Mobile Home	UT	Owner	0	0	1	5	24768.5	63	191899
Not Available	Mobile Home	UT	Renter	0	0	1	0	0	19	50257.3
0-100%	Mobile Home	VA	Not Available	0	0	1	10	88293.3	10	88293.3
0-100%	Mobile Home	VA	Owner	0.356456	0.643544	0	6	53584.4	52	434596
0-100%	Mobile Home	VA	Renter	0.250664	0.749336	0	4	34708.9	28	258276
100-150%	Mobile Home	VA	Not Available	0	0	1	7	34620.7	62	367607
100-150%	Mobile Home	VA	Owner	0.547952	0.452048	0	6	34585.4	48	286836
100-150%	Mobile Home	VA	Renter	0.000436062	0.999564	0	1	35.2209	14	80770.3
150-200%	Mobile Home	VA	Not Available	0	0	1	4	21381.5	44	222404
150-200%	Mobile Home	VA	Owner	0.439985	0.560015	0	3	13594.4	38	183414
150-200%	Mobile Home	VA	Renter	0.269148	0.730852	0	1	7787.02	64	326722
200-300%	Mobile Home	VA	Not Available	0	0	1	6	41894.2	60	322067
200-300%	Mobile Home	VA	Owner	0.290485	0.709515	0	6	41894.2	51	250733
200-300%	Mobile Home	VA	Renter	0.253058	0.746942	0	0	0	102	519377
300-400%	Mobile Home	VA	Not Available	0	0	1	1	4314.43	29	234384
300-400%	Mobile Home	VA	Owner	0.380153	0.619847	0	1	4314.43	23	203916
300-400%	Mobile Home	VA	Renter	0.239126	0.760874	0	0	0	73	331462
400%+	Mobile Home	VA	Not Available	0	0	1	6	46708	29	160303
400%+	Mobile Home	VA	Owner	0.620211	0.379789	0	6	46708	22	123510
400%+	Mobile Home	VA	Renter	0.29219	0.70781	0	0	0	124	680512
Not Available	Mobile Home	VA	Not Available	0.428342	0.571658	0	27	237212	27	237212
Not Available	Mobile Home	VA	Owner	0	0	1	22	194681	22	194681
Not Available	Mobile Home	VA	Renter	0	0	1	5	42531.2	54	516632
0-100%	Mobile Home	VT	Not Available	0	0	1	7	6296.9	15	27075.9
0-100%	Mobile Home	VT	Owner	0.423726	0.576274	0	5	3851.9	13	24630.9
0-100%	Mobile Home	VT	Renter	0.0688197	0.93118	0	2	2445	15	35527.6
100-150%	Mobile Home	VT	Not Available	0	0	1	6	5260.57	17	31820.4
100-150%	Mobile Home	VT	Owner	0.187626	0.812374	0	3	2289.64	13	27257.1
100-150%	Mobile Home	VT	Renter	0.148754	0.851246	0	3	2970.93	25	33369
150-200%	Mobile Home	VT	Not Available	0	0	1	3	1750.29	12	17906.7
150-200%	Mobile Home	VT	Owner	0.432556	0.567444	0	0	0	94	179913
150-200%	Mobile Home	VT	Renter	0.00121918	0.998781	0	3	1750.29	16	19747.5
200-300%	Mobile Home	VT	Not Available	0	0	1	2	1262.25	15	37066.2
200-300%	Mobile Home	VT	Owner	0.361426	0.638574	0	1	77.2772	255	414936
200-300%	Mobile Home	VT	Renter	0.395136	0.604864	0	1	1184.97	28	52159.5
300-400%	Mobile Home	VT	Not Available	0	0	1	3	2027.39	295	473030
300-400%	Mobile Home	VT	Owner	0.359655	0.640345	0	3	2027.39	282	450521
300-400%	Mobile Home	VT	Renter	0.303473	0.696527	0	0	0	13	22508.9
400%+	Mobile Home	VT	Not Available	0	0	1	7	6899.32	11	16144.1
400%+	Mobile Home	VT	Owner	0.150494	0.849506	0	6	5814.43	10	15059.2
400%+	Mobile Home	VT	Renter	0.222342	0.777658	0	1	1084.89	40	101577
Not Available	Mobile Home	VT	Not Available	0.408521	0.591479	0	20	23496.7	20	23496.7
Not Available	Mobile Home	VT	Owner	0	0	1	12	14060.6	12	14060.6
Not Available	Mobile Home	VT	Renter	0	0	1	8	9436.08	14	28893.9
0-100%	Mobile Home	WA	Not Available	0	0	1	7	44940	22	183602
0-100%	Mobile Home	WA	Owner	0.276929	0.723071	0	6	38506.2	19	149490
0-100%	Mobile Home	WA	Renter	0.155853	0.844147	0	1	6433.79	52	429370
100-150%	Mobile Home	WA	Not Available	0	0	1	5	28693.5	19	135057
100-150%	Mobile Home	WA	Owner	0.31283	0.68717	0	4	20152.2	16	111593
100-150%	Mobile Home	WA	Renter	0.197633	0.802367	0	1	8541.31	40	274965
150-200%	Mobile Home	WA	Not Available	0	0	1	3	15807.2	19	90327
150-200%	Mobile Home	WA	Owner	0.303732	0.696268	0	3	15807.2	15	74749.6
150-200%	Mobile Home	WA	Renter	0.294779	0.705221	0	0	0	39	213207
200-300%	Mobile Home	WA	Not Available	0	0	1	11	51501.7	11	51501.7
200-300%	Mobile Home	WA	Owner	0.396374	0.603626	0	10	42475.5	10	42475.5
200-300%	Mobile Home	WA	Renter	0.176117	0.823883	0	1	9026.17	65	370562
300-400%	Mobile Home	WA	Not Available	0	0	1	6	24652.6	14	57488.5
300-400%	Mobile Home	WA	Owner	0.499185	0.500815	0	6	24652.6	14	57488.5
300-400%	Mobile Home	WA	Renter	0.240559	0.759441	0	0	0	45	216734
400%+	Mobile Home	WA	Not Available	0	0	1	6	29408.4	18	122081
400%+	Mobile Home	WA	Owner	0.550877	0.449123	0	6	29408.4	18	122081
400%+	Mobile Home	WA	Renter	0.150073	0.849927	0	0	0	95	689014
Not Available	Mobile Home	WA	Not Available	0.41522	0.58478	0	28	195003	28	195003
Not Available	Mobile Home	WA	Owner	0	0	1	25	171002	25	171002
Not Available	Mobile Home	WA	Renter	0	0	1	3	24001.3	243	2.19385e+06
0-100%	Mobile Home	WI	Not Available	0	0	1	0	0	17	162769
0-100%	Mobile Home	WI	Owner	0.778658	0.221342	0	0	0	12	114444
0-100%	Mobile Home	WI	Renter	0.426833	0.573167	0	0	0	62	488411
100-150%	Mobile Home	WI	Not Available	0	0	1	3	18872.4	20	144687
100-150%	Mobile Home	WI	Owner	0.226614	0.773386	0	3	18872.4	18	143635
100-150%	Mobile Home	WI	Renter	0.381605	0.618395	0	0	0	41	211629
150-200%	Mobile Home	WI	Not Available	0	0	1	1	7900.59	10	80947.8
150-200%	Mobile Home	WI	Owner	0.492491	0.507509	0	1	7900.59	170	989666
150-200%	Mobile Home	WI	Renter	0.181983	0.818017	0	0	0	36	154042
200-300%	Mobile Home	WI	Not Available	0	0	1	5	20526.3	22	93441.3
200-300%	Mobile Home	WI	Owner	0.288812	0.711188	0	5	20526.3	22	93441.3
200-300%	Mobile Home	WI	Renter	0.370572	0.629428	0	0	0	53	277518
300-400%	Mobile Home	WI	Not Available	0	0	1	1	5333.25	10	66711.1
300-400%	Mobile Home	WI	Owner	0.519971	0.480029	0	1	5333.25	368	1.86129e+06
300-400%	Mobile Home	WI	Renter	0.295082	0.704918	0	0	0	32	148572
400%+	Mobile Home	WI	Not Available	0	0	1	1	7831.81	899	6.34421e+06
400%+	Mobile Home	WI	Owner	0.494192	0.505808	0	1	7831.81	856	6.08922e+06
400%+	Mobile Home	WI	Renter	0.400628	0.599372	0	0	0	43	254993
Not Available	Mobile Home	WI	Not Available	0.412021	0.587979	0	9	60464.4	63	625075
Not Available	Mobile Home	WI	Owner	0	0	1	9	60464.4	54	541948
Not Available	Mobile Home	WI	Renter	0	0	1	0	0	195	1.53517e+06
0-100%	Mobile Home	WV	Not Available	0	0	1	8	33122.5	80	692873
0-100%	Mobile Home	WV	Owner	0.356456	0.643544	0	5	20835.7	52	434596
0-100%	Mobile Home	WV	Renter	0.250664	0.749336	0	3	12286.8	28	258276
100-150%	Mobile Home	WV	Not Available	0	0	1	8	24686.1	62	367607
100-150%	Mobile Home	WV	Owner	0.547952	0.452048	0	6	16818.9	48	286836
100-150%	Mobile Home	WV	Renter	0.000436062	0.999564	0	2	7867.19	14	80770.3
150-200%	Mobile Home	WV	Not Available	0	0	1	9	24697.2	44	222404
150-200%	Mobile Home	WV	Owner	0.439985	0.560015	0	9	24697.2	38	183414
150-200%	Mobile Home	WV	Renter	0.269148	0.730852	0	0	0	64	326722
200-300%	Mobile Home	WV	Not Available	0	0	1	12	28751.2	12	28751.2
200-300%	Mobile Home	WV	Owner	0.181464	0.818536	0	10	19321.3	10	19321.3
200-300%	Mobile Home	WV	Renter	0.253058	0.746942	0	2	9429.88	102	519377
300-400%	Mobile Home	WV	Not Available	0	0	1	1	4250.63	29	234384
300-400%	Mobile Home	WV	Owner	0.380153	0.619847	0	1	4250.63	23	203916
300-400%	Mobile Home	WV	Renter	0.239126	0.760874	0	0	0	73	331462
400%+	Mobile Home	WV	Not Available	0	0	1	0	0	29	160303
400%+	Mobile Home	WV	Owner	0.620211	0.379789	0	0	0	22	123510
400%+	Mobile Home	WV	Renter	0.29219	0.70781	0	0	0	124	680512
Not Available	Mobile Home	WV	Not Available	0.135338	0.864662	0	28	115508	28	115508
Not Available	Mobile Home	WV	Owner	0	0	1	21	85923.7	21	85923.7
Not Available	Mobile Home	WV	Renter	0	0	1	7	29583.8	54	516632
0-100%	Mobile Home	WY	Not Available	0	0	1	4	3764.11	27	66715.9
0-100%	Mobile Home	WY	Owner	0.305056	0.694944	0	2	2021.96	17	44303.3
0-100%	Mobile Home	WY	Renter	0.165999	0.834001	0	2	1742.15	10	22412.6
100-150%	Mobile Home	WY	Not Available	0	0	1	5	2163.07	24	42724.6
100-150%	Mobile Home	WY	Owner	0.38262	0.61738	0	4	1546.33	23	42107.8
100-150%	Mobile Home	WY	Renter	0.450077	0.549923	0	1	616.74	26	66431.4
150-200%	Mobile Home	WY	Not Available	0	0	1	5	5428.23	19	38522.7
150-200%	Mobile Home	WY	Owner	0.630869	0.369131	0	3	3297.56	14	22435.2
150-200%	Mobile Home	WY	Renter	0.27831	0.72169	0	2	2130.67	24	53412
200-300%	Mobile Home	WY	Not Available	0	0	1	3	728.022	23	42195
200-300%	Mobile Home	WY	Owner	0.407047	0.592953	0	1	102.615	16	34442.5
200-300%	Mobile Home	WY	Renter	0.169105	0.830895	0	2	625.407	42	86389
300-400%	Mobile Home	WY	Not Available	0	0	1	4	2745.13	16	29863
300-400%	Mobile Home	WY	Owner	0.894737	0.105263	0	3	2009.18	14	27350.9
300-400%	Mobile Home	WY	Renter	0.431251	0.568749	0	1	735.956	35	73023.5
400%+	Mobile Home	WY	Not Available	0	0	1	7	5513.21	16	22134.8
400%+	Mobile Home	WY	Owner	0.885267	0.114733	0	6	4637.28	15	21258.9
400%+	Mobile Home	WY	Renter	0.279563	0.720437	0	1	875.925	45	121209
Not Available	Mobile Home	WY	Not Available	0.720482	0.279518	0	18	20341.8	18	20341.8
Not Available	Mobile Home	WY	Owner	0	0	1	12	13614.9	12	13614.9
Not Available	Mobile Home	WY	Renter	0	0	1	6	6726.84	19	50257.3
0-100%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	7	5692.52	17	14980.4
0-100%	Multi-Family with 2 - 4 Units	AK	Owner	0.058597	0.941403	0	0	0	18	83123.4
0-100%	Multi-Family with 2 - 4 Units	AK	Renter	0.468634	0.531366	0	7	5692.52	17	14980.4
100-150%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	5	3862.35	14	10145.1
100-150%	Multi-Family with 2 - 4 Units	AK	Owner	0.058597	0.941403	0	1	921.504	18	83123.4
100-150%	Multi-Family with 2 - 4 Units	AK	Renter	0.327747	0.672253	0	4	2940.84	12	9221.92
150-200%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	2	766.459	14	10145.1
150-200%	Multi-Family with 2 - 4 Units	AK	Owner	0.058597	0.941403	0	1	1.66203	18	83123.4
150-200%	Multi-Family with 2 - 4 Units	AK	Renter	0.327747	0.672253	0	1	764.797	12	9221.92
200-300%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	7	4749.72	15	10972.6
200-300%	Multi-Family with 2 - 4 Units	AK	Owner	0.0139508	0.986049	0	1	196.67	33	110232
200-300%	Multi-Family with 2 - 4 Units	AK	Renter	0.168388	0.831612	0	6	4553.05	12	9391.86
300-400%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	10	6277.28	10	6277.28
300-400%	Multi-Family with 2 - 4 Units	AK	Owner	0.0139508	0.986049	0	2	1182.92	33	110232
300-400%	Multi-Family with 2 - 4 Units	AK	Renter	0.440301	0.559699	0	8	5094.36	13	7023.23
400%+	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	5	4397.01	13	12747.9
400%+	Multi-Family with 2 - 4 Units	AK	Owner	0.0775428	0.922457	0	2	1835.47	38	270159
400%+	Multi-Family with 2 - 4 Units	AK	Renter	0.199489	0.800511	0	3	2561.54	11	10912.4
Not Available	Multi-Family with 2 - 4 Units	AK	Not Available	0.358305	0.641695	0	24	25745.3	24	25745.3
Not Available	Multi-Family with 2 - 4 Units	AK	Owner	0	0	1	4	4138.23	67	463514
Not Available	Multi-Family with 2 - 4 Units	AK	Renter	0	0	1	20	21607.1	20	21607.1
0-100%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	9	74384.9	28	167327
0-100%	Multi-Family with 2 - 4 Units	AL	Owner	0.231164	0.768836	0	0	0	28	270480
0-100%	Multi-Family with 2 - 4 Units	AL	Renter	0.0662567	0.933743	0	9	74384.9	27	159932
100-150%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	6	19089.4	16	60027
100-150%	Multi-Family with 2 - 4 Units	AL	Owner	0.231164	0.768836	0	1	7965.3	28	270480
100-150%	Multi-Family with 2 - 4 Units	AL	Renter	0.153779	0.846221	0	5	11124.1	15	52061.7
150-200%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	2	10431.3	28	170145
150-200%	Multi-Family with 2 - 4 Units	AL	Owner	0.231164	0.768836	0	0	0	28	270480
150-200%	Multi-Family with 2 - 4 Units	AL	Renter	0.283726	0.716274	0	2	10431.3	28	170145
200-300%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	7	31714.9	16	66162.8
200-300%	Multi-Family with 2 - 4 Units	AL	Owner	0.0502389	0.949761	0	0	0	57	424181
200-300%	Multi-Family with 2 - 4 Units	AL	Renter	0.0924873	0.907513	0	7	31714.9	16	66162.8
300-400%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	3	16938.7	11	42971.2
300-400%	Multi-Family with 2 - 4 Units	AL	Owner	0.0502389	0.949761	0	0	0	57	424181
300-400%	Multi-Family with 2 - 4 Units	AL	Renter	0	1	0	3	16938.7	11	42971.2
400%+	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	0	0	12	48550.9
400%+	Multi-Family with 2 - 4 Units	AL	Owner	0.0470812	0.952919	0	0	0	84	597189
400%+	Multi-Family with 2 - 4 Units	AL	Renter	0	1	0	0	0	11	42422.7
Not Available	Multi-Family with 2 - 4 Units	AL	Not Available	0.0426048	0.957395	0	18	152559	18	152559
Not Available	Multi-Family with 2 - 4 Units	AL	Owner	0	0	1	1	7965.3	133	1.29185e+06
Not Available	Multi-Family with 2 - 4 Units	AL	Renter	0	0	1	17	144594	17	144594
0-100%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	5	22433.6	36	328538
0-100%	Multi-Family with 2 - 4 Units	AR	Owner	0.231164	0.768836	0	0	0	28	270480
0-100%	Multi-Family with 2 - 4 Units	AR	Renter	0.142923	0.857077	0	5	22433.6	36	328538
100-150%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	2	5893.26	20	120534
100-150%	Multi-Family with 2 - 4 Units	AR	Owner	0.231164	0.768836	0	0	0	28	270480
100-150%	Multi-Family with 2 - 4 Units	AR	Renter	0.181623	0.818377	0	2	5893.26	20	120534
150-200%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	0	0	18	119065
150-200%	Multi-Family with 2 - 4 Units	AR	Owner	0.231164	0.768836	0	0	0	28	270480
150-200%	Multi-Family with 2 - 4 Units	AR	Renter	0.0364127	0.963587	0	0	0	18	119065
200-300%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	1	6522.82	22	149556
200-300%	Multi-Family with 2 - 4 Units	AR	Owner	0.0502389	0.949761	0	0	0	57	424181
200-300%	Multi-Family with 2 - 4 Units	AR	Renter	0	1	0	1	6522.82	22	149556
300-400%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	0	0	23	196074
300-400%	Multi-Family with 2 - 4 Units	AR	Owner	0.0502389	0.949761	0	0	0	57	424181
300-400%	Multi-Family with 2 - 4 Units	AR	Renter	0	1	0	0	0	23	196074
400%+	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	1	3598.3	74	813411
400%+	Multi-Family with 2 - 4 Units	AR	Owner	0.0470812	0.952919	0	0	0	84	597189
400%+	Multi-Family with 2 - 4 Units	AR	Renter	0.0531767	0.946823	0	1	3598.3	67	739626
Not Available	Multi-Family with 2 - 4 Units	AR	Not Available	0.0934249	0.906575	0	8	38448	84	783332
Not Available	Multi-Family with 2 - 4 Units	AR	Owner	0	0	1	0	0	12	136218
Not Available	Multi-Family with 2 - 4 Units	AR	Renter	0	0	1	8	38448	82	773932
0-100%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	2	19106.5	26	189594
0-100%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0372053	0.962795	0	0	0	25	130917
0-100%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0927123	0.907288	0	2	19106.5	25	184151
100-150%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	2	5488.59	29	124531
100-150%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0372053	0.962795	0	0	0	25	130917
100-150%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0589553	0.941045	0	2	5488.59	27	117074
150-200%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	7	31451.7	11	42607.3
150-200%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0372053	0.962795	0	0	0	25	130917
150-200%	Multi-Family with 2 - 4 Units	AZ	Renter	0	1	0	7	31451.7	11	42607.3
200-300%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	7	49650.9	12	78351.3
200-300%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0103208	0.989679	0	1	7703.89	44	149002
200-300%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0571801	0.94282	0	6	41947.1	11	70647.4
300-400%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	2	7159	26	141136
300-400%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0103208	0.989679	0	0	0	44	149002
300-400%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0548834	0.945117	0	2	7159	24	130440
400%+	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	2	12415.6	39	185927
400%+	Multi-Family with 2 - 4 Units	AZ	Owner	0.0673447	0.932655	0	0	0	44	311069
400%+	Multi-Family with 2 - 4 Units	AZ	Renter	0.0561752	0.943825	0	2	12415.6	38	181738
Not Available	Multi-Family with 2 - 4 Units	AZ	Not Available	0.121706	0.878294	0	14	125272	14	125272
Not Available	Multi-Family with 2 - 4 Units	AZ	Owner	0	0	1	1	7703.89	83	590988
Not Available	Multi-Family with 2 - 4 Units	AZ	Renter	0	0	1	13	117568	13	117568
0-100%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	24	408546	24	408546
0-100%	Multi-Family with 2 - 4 Units	CA	Owner	0.058597	0.941403	0	0	0	18	83123.4
0-100%	Multi-Family with 2 - 4 Units	CA	Renter	0.0699719	0.930028	0	24	408546	24	408546
100-150%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	10	38423	10	38423
100-150%	Multi-Family with 2 - 4 Units	CA	Owner	0.058597	0.941403	0	1	11735.4	18	83123.4
100-150%	Multi-Family with 2 - 4 Units	CA	Renter	0.0257244	0.974276	0	9	26687.6	12	50839.7
150-200%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	9	94454.2	13	111867
150-200%	Multi-Family with 2 - 4 Units	CA	Owner	0.058597	0.941403	0	0	0	18	83123.4
150-200%	Multi-Family with 2 - 4 Units	CA	Renter	0.111527	0.888473	0	9	94454.2	13	111867
200-300%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	12	124477	12	124477
200-300%	Multi-Family with 2 - 4 Units	CA	Owner	0	1	0	0	0	11	84164.5
200-300%	Multi-Family with 2 - 4 Units	CA	Renter	0	1	0	12	124477	12	124477
300-400%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	9	95758.4	15	120969
300-400%	Multi-Family with 2 - 4 Units	CA	Owner	0	1	0	0	0	11	84164.5
300-400%	Multi-Family with 2 - 4 Units	CA	Renter	0.0703717	0.929628	0	9	95758.4	14	117776
400%+	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	27	328345	27	328345
400%+	Multi-Family with 2 - 4 Units	CA	Owner	0.0831903	0.91681	0	3	39339.3	24	244150
