Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=Has Pool	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Not Available	Mobile Home	HI	Owner	<1940	0	0	1	0	0	11	14585
Not Available	Mobile Home	HI	Renter	<1940	0	0	1	0	0	80	708126
0-100%	Mobile Home	IA	Not Available	1940s	0	0	1	0	0	38	61315.2
0-100%	Mobile Home	IA	Owner	1940s	0	1	0	0	0	25	35264.5
0-100%	Mobile Home	IA	Renter	1940s	0	1	0	0	0	13	26050.8
100-150%	Mobile Home	IA	Not Available	1940s	0	0	1	0	0	37	30242.1
100-150%	Mobile Home	IA	Owner	1940s	0	1	0	0	0	30	23694.5
100-150%	Mobile Home	IA	Renter	1940s	0	1	0	0	0	17	12778.7
150-200%	Mobile Home	IA	Not Available	1940s	0	0	1	0	0	41	33971.5
150-200%	Mobile Home	IA	Owner	1940s	0	1	0	0	0	31	27740.5
150-200%	Mobile Home	IA	Renter	1940s	0	1	0	0	0	10	6231.05
200-300%	Mobile Home	IA	Not Available	1940s	0	0	1	1	1352.37	86	69311
200-300%	Mobile Home	IA	Owner	1940s	0.0275223	0.972478	0	1	1352.37	78	61900.4
200-300%	Mobile Home	IA	Renter	1940s	0	1	0	0	0	13	9640.14
300-400%	Mobile Home	IA	Not Available	1940s	0	0	1	0	0	72	68837.8
300-400%	Mobile Home	IA	Owner	1940s	0	1	0	0	0	67	66608.3
300-400%	Mobile Home	IA	Renter	1940s	0	1	0	0	0	13	9640.14
400%+	Mobile Home	IA	Not Available	1940s	0	0	1	0	0	132	165260
400%+	Mobile Home	IA	Owner	1940s	0.0333776	0.966622	0	0	0	124	156207
400%+	Mobile Home	IA	Renter	1940s	0	1	0	0	0	13	28440.5
Not Available	Mobile Home	IA	Not Available	1940s	0.016127	0.983873	0	1	1352.37	284	428937
Not Available	Mobile Home	IA	Owner	1940s	0	0	1	1	1352.37	249	371415
Not Available	Mobile Home	IA	Renter	1940s	0	0	1	0	0	35	57522
0-100%	Mobile Home	IA	Not Available	1950s	0	0	1	0	0	21	83195.1
0-100%	Mobile Home	IA	Owner	1950s	0	1	0	0	0	14	57303.1
0-100%	Mobile Home	IA	Renter	1950s	0	1	0	0	0	20	68285.5
100-150%	Mobile Home	IA	Not Available	1950s	0	0	1	0	0	20	62259.4
100-150%	Mobile Home	IA	Owner	1950s	0	1	0	0	0	12	36985.2
100-150%	Mobile Home	IA	Renter	1950s	0	1	0	0	0	13	42393.5
150-200%	Mobile Home	IA	Not Available	1950s	0	0	1	0	0	25	87270.1
150-200%	Mobile Home	IA	Owner	1950s	0	1	0	0	0	20	70150.7
150-200%	Mobile Home	IA	Renter	1950s	0	1	0	0	0	13	42393.5
200-300%	Mobile Home	IA	Not Available	1950s	0	0	1	0	0	58	170120
200-300%	Mobile Home	IA	Owner	1950s	0.0636948	0.936305	0	0	0	51	139611
200-300%	Mobile Home	IA	Renter	1950s	0	1	0	0	0	10	37865.6
300-400%	Mobile Home	IA	Not Available	1950s	0	0	1	0	0	34	99915
300-400%	Mobile Home	IA	Owner	1950s	0	1	0	0	0	31	92559.2
300-400%	Mobile Home	IA	Renter	1950s	0	1	0	0	0	10	37865.6
400%+	Mobile Home	IA	Not Available	1950s	0	0	1	0	0	66	248243
400%+	Mobile Home	IA	Owner	1950s	0.0169778	0.983022	0	0	0	61	228855
400%+	Mobile Home	IA	Renter	1950s	0	1	0	0	0	13	28440.5
Not Available	Mobile Home	IA	Not Available	1950s	0.0170145	0.982986	0	0	0	162	751003
Not Available	Mobile Home	IA	Owner	1950s	0	0	1	0	0	137	625464
Not Available	Mobile Home	IA	Renter	1950s	0	0	1	0	0	25	125539
0-100%	Mobile Home	IA	Not Available	1960s	0	0	1	1	6699.96	12	48456.8
0-100%	Mobile Home	IA	Owner	1960s	0	1	0	1	6699.96	35	98830.9
0-100%	Mobile Home	IA	Renter	1960s	0	1	0	0	0	23	78744.3
100-150%	Mobile Home	IA	Not Available	1960s	0	0	1	0	0	12	28720.3
100-150%	Mobile Home	IA	Owner	1960s	0	1	0	0	0	11	28689.9
100-150%	Mobile Home	IA	Renter	1960s	0	1	0	0	0	23	78744.3
150-200%	Mobile Home	IA	Not Available	1960s	0	0	1	0	0	18	46557.7
150-200%	Mobile Home	IA	Owner	1960s	0	1	0	0	0	15	40621.2
150-200%	Mobile Home	IA	Renter	1960s	0	1	0	0	0	23	78744.3
200-300%	Mobile Home	IA	Not Available	1960s	0	0	1	0	0	50	141834
200-300%	Mobile Home	IA	Owner	1960s	0	1	0	0	0	44	109816
200-300%	Mobile Home	IA	Renter	1960s	0	1	0	0	0	17	65506.7
300-400%	Mobile Home	IA	Not Available	1960s	0	0	1	1	2384.46	40	119331
300-400%	Mobile Home	IA	Owner	1960s	0.0457505	0.954249	0	1	2384.46	37	109382
300-400%	Mobile Home	IA	Renter	1960s	0	1	0	0	0	17	65506.7
400%+	Mobile Home	IA	Not Available	1960s	0	0	1	1	1960.3	80	291915
400%+	Mobile Home	IA	Owner	1960s	0.0652326	0.934767	0	1	1960.3	72	261413
400%+	Mobile Home	IA	Renter	1960s	0.0585062	0.941494	0	0	0	17	65469.6
Not Available	Mobile Home	IA	Not Available	1960s	0.0382488	0.961751	0	2	11044.7	149	676814
Not Available	Mobile Home	IA	Owner	1960s	0	0	1	2	11044.7	131	579442
Not Available	Mobile Home	IA	Renter	1960s	0	0	1	0	0	18	97372.1
0-100%	Mobile Home	IA	Not Available	1970s	0	0	1	0	0	11	57041.4
0-100%	Mobile Home	IA	Owner	1970s	0	1	0	0	0	63	190911
0-100%	Mobile Home	IA	Renter	1970s	0	1	0	0	0	16	53840.4
100-150%	Mobile Home	IA	Not Available	1970s	0	0	1	0	0	29	86045.4
100-150%	Mobile Home	IA	Owner	1970s	0	1	0	0	0	23	74140.2
100-150%	Mobile Home	IA	Renter	1970s	0	1	0	0	0	13	35628.9
150-200%	Mobile Home	IA	Not Available	1970s	0	0	1	0	0	39	101665
150-200%	Mobile Home	IA	Owner	1970s	0	1	0	0	0	32	77941.3
150-200%	Mobile Home	IA	Renter	1970s	0	1	0	0	0	13	35628.9
200-300%	Mobile Home	IA	Not Available	1970s	0	0	1	2	10532.2	70	175451
200-300%	Mobile Home	IA	Owner	1970s	0.0522499	0.94775	0	2	10532.2	65	157911
200-300%	Mobile Home	IA	Renter	1970s	0	1	0	0	0	17	65506.7
300-400%	Mobile Home	IA	Not Available	1970s	0	0	1	0	0	57	153228
300-400%	Mobile Home	IA	Owner	1970s	0.097236	0.902764	0	0	0	54	147228
300-400%	Mobile Home	IA	Renter	1970s	0	1	0	0	0	17	65506.7
400%+	Mobile Home	IA	Not Available	1970s	0	0	1	0	0	138	406723
400%+	Mobile Home	IA	Owner	1970s	0.141097	0.858903	0	0	0	129	371755
400%+	Mobile Home	IA	Renter	1970s	0.0585062	0.941494	0	0	0	17	65469.6
Not Available	Mobile Home	IA	Not Available	1970s	0	1	0	2	10532.2	13	50444.8
Not Available	Mobile Home	IA	Owner	1970s	0	0	1	2	10532.2	10	36262.4
Not Available	Mobile Home	IA	Renter	1970s	0	0	1	0	0	24	112349
0-100%	Mobile Home	IA	Not Available	1980s	0	0	1	2	7974.71	17	73230.2
0-100%	Mobile Home	IA	Owner	1980s	0	1	0	2	7974.71	12	53821.9
0-100%	Mobile Home	IA	Renter	1980s	0	1	0	0	0	10	33802.5
100-150%	Mobile Home	IA	Not Available	1980s	0	0	1	1	14.5679	13	28880.9
100-150%	Mobile Home	IA	Owner	1980s	0	1	0	1	14.5679	10	20707.1
100-150%	Mobile Home	IA	Renter	1980s	0	1	0	0	0	10	33802.5
150-200%	Mobile Home	IA	Not Available	1980s	0	0	1	0	0	13	28490.3
150-200%	Mobile Home	IA	Owner	1980s	0	1	0	0	0	11	22270
150-200%	Mobile Home	IA	Renter	1980s	0	1	0	0	0	10	33802.5
200-300%	Mobile Home	IA	Not Available	1980s	0	0	1	0	0	42	88257.8
200-300%	Mobile Home	IA	Owner	1980s	0	1	0	0	0	37	78875.3
200-300%	Mobile Home	IA	Renter	1980s	0	1	0	0	0	11	30019.7
300-400%	Mobile Home	IA	Not Available	1980s	0	0	1	0	0	38	100760
300-400%	Mobile Home	IA	Owner	1980s	0	1	0	0	0	32	80122.9
300-400%	Mobile Home	IA	Renter	1980s	0	1	0	0	0	11	30019.7
400%+	Mobile Home	IA	Not Available	1980s	0	0	1	0	0	74	237566
400%+	Mobile Home	IA	Owner	1980s	0.0840144	0.915986	0	0	0	67	221948
400%+	Mobile Home	IA	Renter	1980s	0	1	0	0	0	12	37405.3
Not Available	Mobile Home	IA	Not Available	1980s	0	1	0	2	7989.28	11	50025.8
Not Available	Mobile Home	IA	Owner	1980s	0	0	1	2	7989.28	124	477745
Not Available	Mobile Home	IA	Renter	1980s	0	0	1	0	0	18	79440.2
0-100%	Mobile Home	IA	Not Available	1990s	0	0	1	0	0	44	164771
0-100%	Mobile Home	IA	Owner	1990s	0.0769205	0.92308	0	0	0	33	127458
0-100%	Mobile Home	IA	Renter	1990s	0	1	0	0	0	11	37313.7
100-150%	Mobile Home	IA	Not Available	1990s	0	0	1	1	6238.11	15	44249.2
100-150%	Mobile Home	IA	Owner	1990s	0.0259978	0.974002	0	0	0	11	32391.3
100-150%	Mobile Home	IA	Renter	1990s	0	1	0	1	6238.11	11	37313.7
150-200%	Mobile Home	IA	Not Available	1990s	0	0	1	1	1860.85	21	75493.2
150-200%	Mobile Home	IA	Owner	1990s	0.134952	0.865048	0	0	0	16	66408.6
150-200%	Mobile Home	IA	Renter	1990s	0	1	0	1	1860.85	11	37313.7
200-300%	Mobile Home	IA	Not Available	1990s	0	0	1	0	0	47	124457
200-300%	Mobile Home	IA	Owner	1990s	0	1	0	0	0	40	100357
200-300%	Mobile Home	IA	Renter	1990s	0	1	0	0	0	13	36295.8
300-400%	Mobile Home	IA	Not Available	1990s	0	0	1	0	0	55	131143
300-400%	Mobile Home	IA	Owner	1990s	0.0489128	0.951087	0	0	0	49	118947
300-400%	Mobile Home	IA	Renter	1990s	0	1	0	0	0	13	36295.8
400%+	Mobile Home	IA	Not Available	1990s	0	0	1	0	0	131	559056
400%+	Mobile Home	IA	Owner	1990s	0.0472881	0.952712	0	0	0	126	537269
400%+	Mobile Home	IA	Renter	1990s	0	1	0	0	0	12	37405.3
Not Available	Mobile Home	IA	Not Available	1990s	0	1	0	1	8098.96	16	105943
Not Available	Mobile Home	IA	Owner	1990s	0	0	1	0	0	13	79899.8
Not Available	Mobile Home	IA	Renter	1990s	0	0	1	1	8098.96	19	95396.8
0-100%	Mobile Home	IA	Not Available	2000s	0	0	1	1	7064.1	15	74302.6
0-100%	Mobile Home	IA	Owner	2000s	0	1	0	1	7064.1	13	65070.6
0-100%	Mobile Home	IA	Renter	2000s	0	1	0	0	0	20	46187.9
100-150%	Mobile Home	IA	Not Available	2000s	0	0	1	2	4531.43	15	36796.4
100-150%	Mobile Home	IA	Owner	2000s	0	1	0	2	4531.43	13	30242.6
100-150%	Mobile Home	IA	Renter	2000s	0	1	0	0	0	20	46187.9
150-200%	Mobile Home	IA	Not Available	2000s	0	0	1	0	0	23	55984.9
150-200%	Mobile Home	IA	Owner	2000s	0	1	0	0	0	21	51519.9
150-200%	Mobile Home	IA	Renter	2000s	0	1	0	0	0	20	46187.9
200-300%	Mobile Home	IA	Not Available	2000s	0	0	1	0	0	46	95964.9
200-300%	Mobile Home	IA	Owner	2000s	0.0727317	0.927268	0	0	0	41	87296.4
200-300%	Mobile Home	IA	Renter	2000s	0	1	0	0	0	10	17760.7
300-400%	Mobile Home	IA	Not Available	2000s	0	0	1	0	0	53	106098
300-400%	Mobile Home	IA	Owner	2000s	0.0756331	0.924367	0	0	0	48	97006.2
300-400%	Mobile Home	IA	Renter	2000s	0	1	0	0	0	10	17760.7
400%+	Mobile Home	IA	Not Available	2000s	0	0	1	0	0	146	437925
400%+	Mobile Home	IA	Owner	2000s	0.0495477	0.950452	0	0	0	137	428828
400%+	Mobile Home	IA	Renter	2000s	0	1	0	0	0	13	19463.3
Not Available	Mobile Home	IA	Not Available	2000s	0.103899	0.896101	0	2	11595.5	14	78546.6
Not Available	Mobile Home	IA	Owner	2000s	0	0	1	2	11595.5	13	76651
Not Available	Mobile Home	IA	Renter	2000s	0	0	1	0	0	18	47108
0-100%	Mobile Home	IA	Not Available	2010s	0	0	1	0	0	28	65701.4
0-100%	Mobile Home	IA	Owner	2010s	0	1	0	0	0	14	39764.2
0-100%	Mobile Home	IA	Renter	2010s	0	1	0	0	0	14	25937.2
100-150%	Mobile Home	IA	Not Available	2010s	0	0	1	0	0	21	37127.1
100-150%	Mobile Home	IA	Owner	2010s	0	1	0	0	0	11	23951.5
100-150%	Mobile Home	IA	Renter	2010s	0	1	0	0	0	10	13175.6
150-200%	Mobile Home	IA	Not Available	2010s	0	0	1	0	0	13	23843.6
150-200%	Mobile Home	IA	Owner	2010s	0	1	0	0	0	11	23951.5
150-200%	Mobile Home	IA	Renter	2010s	0	1	0	0	0	10	13175.6
200-300%	Mobile Home	IA	Not Available	2010s	0	0	1	0	0	32	68639.1
200-300%	Mobile Home	IA	Owner	2010s	0	1	0	0	0	24	58958.1
200-300%	Mobile Home	IA	Renter	2010s	0	1	0	0	0	19	28338.7
300-400%	Mobile Home	IA	Not Available	2010s	0	0	1	0	0	28	56225.7
300-400%	Mobile Home	IA	Owner	2010s	0	1	0	0	0	27	55328.8
300-400%	Mobile Home	IA	Renter	2010s	0	1	0	0	0	19	28338.7
400%+	Mobile Home	IA	Not Available	2010s	0	0	1	0	0	98	286109
400%+	Mobile Home	IA	Owner	2010s	0.0482194	0.951781	0	0	0	94	275743
400%+	Mobile Home	IA	Renter	2010s	0	1	0	0	0	13	19463.3
Not Available	Mobile Home	IA	Not Available	2010s	0.0278935	0.972106	0	0	0	143	476676
Not Available	Mobile Home	IA	Owner	2010s	0	0	1	0	0	123	429794
Not Available	Mobile Home	IA	Renter	2010s	0	0	1	0	0	20	46881.9
0-100%	Mobile Home	IA	Not Available	<1940	0	0	1	0	0	38	158453
0-100%	Mobile Home	IA	Owner	<1940	0	1	0	0	0	25	91131.5
0-100%	Mobile Home	IA	Renter	<1940	0	1	0	0	0	13	67321.2
100-150%	Mobile Home	IA	Not Available	<1940	0	0	1	0	0	37	78152.6
100-150%	Mobile Home	IA	Owner	<1940	0	1	0	0	0	30	61231.9
100-150%	Mobile Home	IA	Renter	<1940	0	1	0	0	0	17	33023.2
150-200%	Mobile Home	IA	Not Available	<1940	0	0	1	0	0	41	87790.2
150-200%	Mobile Home	IA	Owner	<1940	0	1	0	0	0	31	71687.7
150-200%	Mobile Home	IA	Renter	<1940	0	1	0	0	0	10	16102.5
200-300%	Mobile Home	IA	Not Available	<1940	0	0	1	1	3494.82	86	179116
200-300%	Mobile Home	IA	Owner	<1940	0.0275223	0.972478	0	1	3494.82	78	159965
200-300%	Mobile Home	IA	Renter	<1940	0	1	0	0	0	13	24912.3
300-400%	Mobile Home	IA	Not Available	<1940	0	0	1	0	0	72	177893
300-400%	Mobile Home	IA	Owner	<1940	0	1	0	0	0	67	172131
300-400%	Mobile Home	IA	Renter	<1940	0	1	0	0	0	13	24912.3
400%+	Mobile Home	IA	Not Available	<1940	0	0	1	0	0	132	427069
400%+	Mobile Home	IA	Owner	<1940	0.0333776	0.966622	0	0	0	124	403676
400%+	Mobile Home	IA	Renter	<1940	0	1	0	0	0	13	51833.7
Not Available	Mobile Home	IA	Not Available	<1940	0.016127	0.983873	0	1	3494.82	284	1.10847e+06
Not Available	Mobile Home	IA	Owner	<1940	0	0	1	1	3494.82	249	959823
Not Available	Mobile Home	IA	Renter	<1940	0	0	1	0	0	35	148650
0-100%	Mobile Home	ID	Not Available	1940s	0	0	1	0	0	11	9408.89
0-100%	Mobile Home	ID	Owner	1940s	0	1	0	0	0	34	18984.3
0-100%	Mobile Home	ID	Renter	1940s	0	1	0	0	0	14	9560.15
100-150%	Mobile Home	ID	Not Available	1940s	0	0	1	0	0	14	6478.57
100-150%	Mobile Home	ID	Owner	1940s	0	1	0	0	0	10	4674.54
100-150%	Mobile Home	ID	Renter	1940s	0	1	0	0	0	14	9560.15
150-200%	Mobile Home	ID	Not Available	1940s	0	0	1	0	0	23	12657
150-200%	Mobile Home	ID	Owner	1940s	0	1	0	0	0	18	8630.41
150-200%	Mobile Home	ID	Renter	1940s	0	1	0	0	0	14	9560.15
200-300%	Mobile Home	ID	Not Available	1940s	0	0	1	0	0	42	20305.7
200-300%	Mobile Home	ID	Owner	1940s	0	1	0	0	0	37	18371.6
200-300%	Mobile Home	ID	Renter	1940s	0	1	0	0	0	13	14928.3
300-400%	Mobile Home	ID	Not Available	1940s	0	0	1	0	0	31	17441.6
300-400%	Mobile Home	ID	Owner	1940s	0.0490458	0.950954	0	0	0	27	14745.7
300-400%	Mobile Home	ID	Renter	1940s	0	1	0	0	0	13	14928.3
400%+	Mobile Home	ID	Not Available	1940s	0	0	1	0	0	53	44747.3
400%+	Mobile Home	ID	Owner	1940s	0.0328803	0.96712	0	0	0	47	38234.5
400%+	Mobile Home	ID	Renter	1940s	0	1	0	0	0	41	253026
Not Available	Mobile Home	ID	Not Available	1940s	0.0178349	0.982165	0	0	0	118	111039
Not Available	Mobile Home	ID	Owner	1940s	0	0	1	0	0	98	90336
Not Available	Mobile Home	ID	Renter	1940s	0	0	1	0	0	20	20703
0-100%	Mobile Home	ID	Not Available	1950s	0	0	1	0	0	23	83495.8
0-100%	Mobile Home	ID	Owner	1950s	0	1	0	0	0	19	69924.9
0-100%	Mobile Home	ID	Renter	1950s	0	1	0	0	0	18	23131
100-150%	Mobile Home	ID	Not Available	1950s	0	0	1	0	0	19	61190.2
100-150%	Mobile Home	ID	Owner	1950s	0	1	0	0	0	17	54448.5
100-150%	Mobile Home	ID	Renter	1950s	0	1	0	0	0	18	23131
150-200%	Mobile Home	ID	Not Available	1950s	0	0	1	0	0	11	30468.3
150-200%	Mobile Home	ID	Owner	1950s	0	1	0	0	0	10	27197.4
150-200%	Mobile Home	ID	Renter	1950s	0	1	0	0	0	18	23131
200-300%	Mobile Home	ID	Not Available	1950s	0	0	1	0	0	21	72055.4
200-300%	Mobile Home	ID	Owner	1950s	0	1	0	0	0	19	68230.8
200-300%	Mobile Home	ID	Renter	1950s	0	1	0	0	0	13	14928.3
300-400%	Mobile Home	ID	Not Available	1950s	0	0	1	0	0	12	31717.1
300-400%	Mobile Home	ID	Owner	1950s	0.010033	0.989967	0	0	0	10	25243.6
300-400%	Mobile Home	ID	Renter	1950s	0	1	0	0	0	13	14928.3
400%+	Mobile Home	ID	Not Available	1950s	0	0	1	0	0	30	135879
400%+	Mobile Home	ID	Owner	1950s	0.0997116	0.900288	0	0	0	29	134509
400%+	Mobile Home	ID	Renter	1950s	0	1	0	0	0	41	253026
Not Available	Mobile Home	ID	Not Available	1950s	0.0422885	0.957712	0	0	0	63	323147
Not Available	Mobile Home	ID	Owner	1950s	0	0	1	0	0	56	297909
Not Available	Mobile Home	ID	Renter	1950s	0	0	1	0	0	27	45941.7
0-100%	Mobile Home	ID	Not Available	1960s	0	0	1	0	0	10	13435.9
0-100%	Mobile Home	ID	Owner	1960s	0	1	0	0	0	23	40301.1
0-100%	Mobile Home	ID	Renter	1960s	0	1	0	0	0	24	37310.2
100-150%	Mobile Home	ID	Not Available	1960s	0	0	1	1	2393.75	11	20246.9
100-150%	Mobile Home	ID	Owner	1960s	0	1	0	1	2393.75	18	34049.9
100-150%	Mobile Home	ID	Renter	1960s	0	1	0	0	0	24	37310.2
150-200%	Mobile Home	ID	Not Available	1960s	0	0	1	0	0	11	16228.4
150-200%	Mobile Home	ID	Owner	1960s	0	1	0	0	0	18	34049.9
150-200%	Mobile Home	ID	Renter	1960s	0	1	0	0	0	24	37310.2
200-300%	Mobile Home	ID	Not Available	1960s	0	0	1	0	0	22	39627.9
200-300%	Mobile Home	ID	Owner	1960s	0	1	0	0	0	18	29525.1
200-300%	Mobile Home	ID	Renter	1960s	0	1	0	0	0	10	16988.9
300-400%	Mobile Home	ID	Not Available	1960s	0	0	1	0	0	25	40811
300-400%	Mobile Home	ID	Owner	1960s	0	1	0	0	0	19	33925
300-400%	Mobile Home	ID	Renter	1960s	0	1	0	0	0	10	16988.9
400%+	Mobile Home	ID	Not Available	1960s	0	0	1	0	0	51	123514
400%+	Mobile Home	ID	Owner	1960s	0.0488777	0.951122	0	0	0	45	110482
400%+	Mobile Home	ID	Renter	1960s	0	1	0	0	0	10	16212.9
Not Available	Mobile Home	ID	Not Available	1960s	0.0212716	0.978728	0	1	2393.75	91	253864
Not Available	Mobile Home	ID	Owner	1960s	0	0	1	1	2393.75	74	214233
Not Available	Mobile Home	ID	Renter	1960s	0	0	1	0	0	17	39631.1
0-100%	Mobile Home	ID	Not Available	1970s	0	0	1	6	12051.6	13	31163
0-100%	Mobile Home	ID	Owner	1970s	0	1	0	6	12051.6	11	27259.8
0-100%	Mobile Home	ID	Renter	1970s	0	1	0	0	0	15	27700.1
100-150%	Mobile Home	ID	Not Available	1970s	0	0	1	3	1899.66	10	21578.8
100-150%	Mobile Home	ID	Owner	1970s	0	1	0	3	1899.66	10	21578.8
100-150%	Mobile Home	ID	Renter	1970s	0	1	0	0	0	11	20165.3
150-200%	Mobile Home	ID	Not Available	1970s	0	0	1	0	0	31	71462.2
150-200%	Mobile Home	ID	Owner	1970s	0	1	0	0	0	25	63099.6
150-200%	Mobile Home	ID	Renter	1970s	0	1	0	0	0	11	20165.3
200-300%	Mobile Home	ID	Not Available	1970s	0	0	1	0	0	45	73660.3
200-300%	Mobile Home	ID	Owner	1970s	0	1	0	0	0	38	64955.4
200-300%	Mobile Home	ID	Renter	1970s	0	1	0	0	0	12	14479.9
300-400%	Mobile Home	ID	Not Available	1970s	0	0	1	0	0	41	76830.5
300-400%	Mobile Home	ID	Owner	1970s	0.00235744	0.997643	0	0	0	36	71055.4
300-400%	Mobile Home	ID	Renter	1970s	0	1	0	0	0	12	14479.9
400%+	Mobile Home	ID	Not Available	1970s	0	0	1	0	0	77	204694
400%+	Mobile Home	ID	Owner	1970s	0.0333101	0.96669	0	0	0	73	201513
400%+	Mobile Home	ID	Renter	1970s	0	1	0	0	0	10	16212.9
Not Available	Mobile Home	ID	Not Available	1970s	0	1	0	6	13951.3	26	85498
Not Available	Mobile Home	ID	Owner	1970s	0	0	1	6	13951.3	21	75067.6
Not Available	Mobile Home	ID	Renter	1970s	0	0	1	0	0	18	45360.8
0-100%	Mobile Home	ID	Not Available	1980s	0	0	1	1	3360.84	11	26892.3
0-100%	Mobile Home	ID	Owner	1980s	0.113615	0.886385	0	0	0	21	48441
0-100%	Mobile Home	ID	Renter	1980s	0	1	0	1	3360.84	13	28873.5
100-150%	Mobile Home	ID	Not Available	1980s	0	0	1	0	0	13	23707.5
100-150%	Mobile Home	ID	Owner	1980s	0.147418	0.852582	0	0	0	18	37333.2
100-150%	Mobile Home	ID	Renter	1980s	0	1	0	0	0	13	28873.5
150-200%	Mobile Home	ID	Not Available	1980s	0	0	1	0	0	10	26714.7
150-200%	Mobile Home	ID	Owner	1980s	0.147418	0.852582	0	0	0	18	37333.2
150-200%	Mobile Home	ID	Renter	1980s	0	1	0	0	0	13	28873.5
200-300%	Mobile Home	ID	Not Available	1980s	0	0	1	0	0	32	67648.4
200-300%	Mobile Home	ID	Owner	1980s	0	1	0	0	0	30	64825.3
200-300%	Mobile Home	ID	Renter	1980s	0	1	0	0	0	19	46824.6
300-400%	Mobile Home	ID	Not Available	1980s	0	0	1	0	0	32	70895.8
300-400%	Mobile Home	ID	Owner	1980s	0.012343	0.987657	0	0	0	27	60469.3
300-400%	Mobile Home	ID	Renter	1980s	0	1	0	0	0	19	46824.6
400%+	Mobile Home	ID	Not Available	1980s	0	0	1	0	0	74	206194
400%+	Mobile Home	ID	Owner	1980s	0.0363124	0.963688	0	0	0	66	190459
400%+	Mobile Home	ID	Renter	1980s	0	1	0	0	0	12	33315.6
Not Available	Mobile Home	ID	Not Available	1980s	0	1	0	1	3360.84	14	38883.1
Not Available	Mobile Home	ID	Owner	1980s	0	0	1	0	0	105	364195
Not Available	Mobile Home	ID	Renter	1980s	0	0	1	1	3360.84	21	57858.4
0-100%	Mobile Home	ID	Not Available	1990s	0	0	1	2	4479.33	10	40514.6
0-100%	Mobile Home	ID	Owner	1990s	0	1	0	1	2278.05	44	115553
0-100%	Mobile Home	ID	Renter	1990s	0	1	0	1	2201.28	10	19922.1
100-150%	Mobile Home	ID	Not Available	1990s	0	0	1	3	2509.22	19	38987.7
100-150%	Mobile Home	ID	Owner	1990s	0	1	0	3	2509.22	16	31959.6
100-150%	Mobile Home	ID	Renter	1990s	0	1	0	0	0	10	19922.1
150-200%	Mobile Home	ID	Not Available	1990s	0	0	1	3	4435.44	25	55973.3
150-200%	Mobile Home	ID	Owner	1990s	0	1	0	3	4435.44	21	48468.5
150-200%	Mobile Home	ID	Renter	1990s	0	1	0	0	0	10	19922.1
200-300%	Mobile Home	ID	Not Available	1990s	0	0	1	2	2450.64	48	107797
200-300%	Mobile Home	ID	Owner	1990s	0	1	0	2	2450.64	40	85165.4
200-300%	Mobile Home	ID	Renter	1990s	0	1	0	0	0	12	33575
300-400%	Mobile Home	ID	Not Available	1990s	0	0	1	3	3811.22	39	87879
300-400%	Mobile Home	ID	Owner	1990s	0	1	0	3	3811.22	35	76936
300-400%	Mobile Home	ID	Renter	1990s	0	1	0	0	0	12	33575
400%+	Mobile Home	ID	Not Available	1990s	0	0	1	3	4130.91	91	326225
400%+	Mobile Home	ID	Owner	1990s	0.0441598	0.95584	0	3	4130.91	87	308645
400%+	Mobile Home	ID	Renter	1990s	0	1	0	0	0	12	33315.6
Not Available	Mobile Home	ID	Not Available	1990s	0	1	0	10	21816.8	10	21816.8
Not Available	Mobile Home	ID	Owner	1990s	0	0	1	9	19615.5	17	48492.5
Not Available	Mobile Home	ID	Renter	1990s	0	0	1	1	2201.28	18	71077.3
0-100%	Mobile Home	ID	Not Available	2000s	0	0	1	1	1938.89	11	36916.7
0-100%	Mobile Home	ID	Owner	2000s	0.0246116	0.975388	0	1	1938.89	38	81579.2
0-100%	Mobile Home	ID	Renter	2000s	0	1	0	0	0	12	32174.4
100-150%	Mobile Home	ID	Not Available	2000s	0	0	1	1	2278.66	16	39423.4
100-150%	Mobile Home	ID	Owner	2000s	0	1	0	1	2278.66	12	27218.1
100-150%	Mobile Home	ID	Renter	2000s	0	1	0	0	0	12	32174.4
150-200%	Mobile Home	ID	Not Available	2000s	0	0	1	0	0	23	37413.5
150-200%	Mobile Home	ID	Owner	2000s	0.0656032	0.934397	0	0	0	19	30605.1
150-200%	Mobile Home	ID	Renter	2000s	0	1	0	0	0	12	32174.4
200-300%	Mobile Home	ID	Not Available	2000s	0	0	1	0	0	52	85753.9
200-300%	Mobile Home	ID	Owner	2000s	0	1	0	0	0	45	70119.9
200-300%	Mobile Home	ID	Renter	2000s	0	1	0	0	0	12	29773.1
300-400%	Mobile Home	ID	Not Available	2000s	0	0	1	0	0	50	89561.9
300-400%	Mobile Home	ID	Owner	2000s	0	1	0	0	0	45	75422.7
300-400%	Mobile Home	ID	Renter	2000s	0	1	0	0	0	12	29773.1
400%+	Mobile Home	ID	Not Available	2000s	0	0	1	0	0	113	355844
400%+	Mobile Home	ID	Owner	2000s	0.0440005	0.956	0	0	0	102	324713
400%+	Mobile Home	ID	Renter	2000s	0	1	0	0	0	11	31130.9
Not Available	Mobile Home	ID	Not Available	2000s	0	1	0	2	4217.55	10	29197
Not Available	Mobile Home	ID	Owner	2000s	0	0	1	2	4217.55	165	551835
