Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=No	Option=Yes	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Level 1 charger	300-400%	Multi-Family with 5+ Units	Owner	1960-79	0.518022	0.481978	0	0.000696336	5.30012	0.00278534	19.4181
Level 1 charger	300-400%	Multi-Family with 5+ Units	Owner	1980-99	0.518022	0.481978	0	1.74084e-20	1.34531e-20	0.00278534	19.4181
Level 1 charger	300-400%	Multi-Family with 5+ Units	Owner	2000-09	0.518022	0.481978	0	0.00139267	9.68352	0.00278534	19.4181
Level 1 charger	300-400%	Multi-Family with 5+ Units	Owner	2010s	0.518022	0.481978	0	0.000348168	2.43294	0.00278534	19.4181
Level 1 charger	300-400%	Multi-Family with 5+ Units	Owner	<1940	0.518022	0.481978	0	0.000348168	1.44309	0.00278534	19.4181
Level 1 charger	300-400%	Multi-Family with 5+ Units	Renter	1940-59	0.754005	0.245995	0	0.0111894	17.5536	0.0895155	610.395
Level 1 charger	300-400%	Multi-Family with 5+ Units	Renter	1960-79	0.754005	0.245995	0	0.0223789	166.606	0.0895155	610.395
Level 1 charger	300-400%	Multi-Family with 5+ Units	Renter	1980-99	0.754005	0.245995	0	5.59472e-19	4.2289e-19	0.0895155	610.395
Level 1 charger	300-400%	Multi-Family with 5+ Units	Renter	2000-09	0.754005	0.245995	0	0.0447577	304.395	0.0895155	610.395
Level 1 charger	300-400%	Multi-Family with 5+ Units	Renter	2010s	0.754005	0.245995	0	0.0111894	76.4778	0.0895155	610.395
Level 1 charger	300-400%	Multi-Family with 5+ Units	Renter	<1940	0.754005	0.245995	0	0.0111894	45.3626	0.0895155	610.395
Level 1 charger	300-400%	Single-Family Attached	Not Available	1940-59	0	0	1	0.0130246	2.85558	0.273518	636.575
Level 1 charger	300-400%	Single-Family Attached	Not Available	1960-79	0	0	1	0.0911725	239.672	0.273518	636.575
Level 1 charger	300-400%	Single-Family Attached	Not Available	1980-99	0	0	1	0.0520986	94.545	0.273518	636.575
Level 1 charger	300-400%	Single-Family Attached	Not Available	2000-09	0	0	1	0.0390739	155.339	0.273518	636.575
Level 1 charger	300-400%	Single-Family Attached	Not Available	2010s	0	0	1	0.0781479	136.784	0.273518	636.575
Level 1 charger	300-400%	Single-Family Attached	Not Available	<1940	0	0	1	0.0130246	7.37949	0.273518	636.575
Level 1 charger	300-400%	Single-Family Attached	Owner	1940-59	0.0137503	0.98625	0	0.00522307	1.12422	0.109684	250.614
Level 1 charger	300-400%	Single-Family Attached	Owner	1960-79	0.0137503	0.98625	0	0.0365615	94.3569	0.109684	250.614
Level 1 charger	300-400%	Single-Family Attached	Owner	1980-99	0.0137503	0.98625	0	0.0208923	37.2216	0.109684	250.614
Level 1 charger	300-400%	Single-Family Attached	Owner	2000-09	0.0137503	0.98625	0	0.0156692	61.1559	0.109684	250.614
Level 1 charger	300-400%	Single-Family Attached	Owner	2010s	0.0137503	0.98625	0	0.0313384	53.8506	0.109684	250.614
Level 1 charger	300-400%	Single-Family Attached	Owner	<1940	0.0137503	0.98625	0	0.00522307	2.90524	0.109684	250.614
Level 1 charger	300-400%	Single-Family Attached	Renter	1940-59	0.021666	0.978334	0	0.00175112	0.396339	0.0367736	88.353
Level 1 charger	300-400%	Single-Family Attached	Renter	1960-79	0.021666	0.978334	0	0.0122579	33.2651	0.0367736	88.353
Level 1 charger	300-400%	Single-Family Attached	Renter	1980-99	0.021666	0.978334	0	0.00700449	13.1223	0.0367736	88.353
Level 1 charger	300-400%	Single-Family Attached	Renter	2000-09	0.021666	0.978334	0	0.00525337	21.5602	0.0367736	88.353
Level 1 charger	300-400%	Single-Family Attached	Renter	2010s	0.021666	0.978334	0	0.0105067	18.9848	0.0367736	88.353
Level 1 charger	300-400%	Single-Family Attached	Renter	<1940	0.021666	0.978334	0	0.00175112	1.02423	0.0367736	88.353
Level 1 charger	300-400%	Single-Family Detached	Not Available	1940-59	0	0	1	0.486894	1133.58	0.486894	1133.58
Level 1 charger	300-400%	Single-Family Detached	Not Available	1960-79	0	0	1	0.297547	1197.14	0.297547	1197.14
Level 1 charger	300-400%	Single-Family Detached	Not Available	1980-99	0	0	1	0.378696	1724.65	0.378696	1724.65
Level 1 charger	300-400%	Single-Family Detached	Not Available	2000-09	0	0	1	0.243447	739.141	0.243447	739.141
Level 1 charger	300-400%	Single-Family Detached	Not Available	2010s	0	0	1	0.148773	467.173	0.148773	467.173
Level 1 charger	300-400%	Single-Family Detached	Not Available	<1940	0	0	1	0.338121	1060.26	0.338121	1060.26
Level 1 charger	300-400%	Single-Family Detached	Owner	1940-59	0.0353943	0.964606	0	0.411878	951.005	0.411878	951.005
Level 1 charger	300-400%	Single-Family Detached	Owner	1960-79	0.144231	0.855769	0	0.251703	1004.33	0.251703	1004.33
Level 1 charger	300-400%	Single-Family Detached	Owner	1980-99	0.032173	0.967827	0	0.320349	1446.88	0.320349	1446.88
Level 1 charger	300-400%	Single-Family Detached	Owner	2000-09	0	1	0	0.205939	620.096	0.205939	620.096
Level 1 charger	300-400%	Single-Family Detached	Owner	2010s	0.213324	0.786676	0	0.125851	391.931	0.125851	391.931
Level 1 charger	300-400%	Single-Family Detached	Owner	<1940	0.0999976	0.900002	0	0.286026	889.494	0.286026	889.494
Level 1 charger	300-400%	Single-Family Detached	Renter	1940-59	0.0889435	0.911056	0	0.00312846	8.01039	0.00312846	8.01039
Level 1 charger	300-400%	Single-Family Detached	Renter	1960-79	0.309594	0.690406	0	0.00191183	8.45958	0.00191183	8.45958
Level 1 charger	300-400%	Single-Family Detached	Renter	1980-99	0.0812592	0.918741	0	0.00243324	12.1872	0.00243324	12.1872
Level 1 charger	300-400%	Single-Family Detached	Renter	2000-09	0	1	0	0.00156423	5.22312	0.00156423	5.22312
Level 1 charger	300-400%	Single-Family Detached	Renter	2010s	0.419107	0.580893	0	0.000955917	3.30127	0.000955917	3.30127
Level 1 charger	300-400%	Single-Family Detached	Renter	<1940	0.228168	0.771832	0	0.00217254	7.49228	0.00217254	7.49228
Level 1 charger	400%+	Mobile Home	Not Available	1940-59	0	0	1	7.38819e-19	5.15128e-19	1.04912	4466.76
Level 1 charger	400%+	Mobile Home	Not Available	1960-79	0	0	1	0.0147764	90.2623	1.04912	4466.76
Level 1 charger	400%+	Mobile Home	Not Available	1980-99	0	0	1	0.0221646	71.886	1.04912	4466.76
Level 1 charger	400%+	Mobile Home	Not Available	2000-09	0	0	1	0.00738819	5.88549	1.04912	4466.76
Level 1 charger	400%+	Mobile Home	Not Available	2010s	0	0	1	7.38819e-19	5.15128e-19	1.04912	4466.76
Level 1 charger	400%+	Mobile Home	Not Available	<1940	0	0	1	7.38819e-19	5.15128e-19	1.04912	4466.76
Level 1 charger	400%+	Mobile Home	Owner	1940-59	0.0373968	0.962603	0	6.1009e-19	4.27298e-19	0.866327	3705.18
Level 1 charger	400%+	Mobile Home	Owner	1960-79	0.0373968	0.962603	0	0.0122018	74.8726	0.866327	3705.18
Level 1 charger	400%+	Mobile Home	Owner	1980-99	0.0373968	0.962603	0	0.0183027	59.6294	0.866327	3705.18
Level 1 charger	400%+	Mobile Home	Owner	2000-09	0.0373968	0.962603	0	0.0061009	4.88201	0.866327	3705.18
Level 1 charger	400%+	Mobile Home	Owner	2010s	0.0373968	0.962603	0	6.1009e-19	4.27298e-19	0.866327	3705.18
Level 1 charger	400%+	Mobile Home	Owner	<1940	0.0373968	0.962603	0	6.1009e-19	4.27298e-19	0.866327	3705.18
Level 1 charger	400%+	Mobile Home	Renter	1940-59	0.139269	0.860731	0	6.15306e-21	4.10155e-21	0.00873735	35.5653
Level 1 charger	400%+	Mobile Home	Renter	1960-79	0.139269	0.860731	0	0.000123061	0.718687	0.00873735	35.5653
Level 1 charger	400%+	Mobile Home	Renter	1980-99	0.139269	0.860731	0	0.000184592	0.572371	0.00873735	35.5653
Level 1 charger	400%+	Mobile Home	Renter	2000-09	0.139269	0.860731	0	6.15306e-05	0.0468615	0.00873735	35.5653
Level 1 charger	400%+	Mobile Home	Renter	2010s	0.139269	0.860731	0	6.15306e-21	4.10155e-21	0.00873735	35.5653
Level 1 charger	400%+	Mobile Home	Renter	<1940	0.139269	0.860731	0	6.15306e-21	4.10155e-21	0.00873735	35.5653
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.049842	188.381	0.49842	3656.39
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	0.024921	180.662	0.49842	3656.39
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	2.4921e-18	2.05193e-18	0.49842	3656.39
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	2.4921e-18	2.05193e-18	0.49842	3656.39
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	0.024921	176.211	0.49842	3656.39
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.024921	149.402	0.49842	3656.39
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Owner	1940-59	0.579408	0.420592	0	0.00220731	8.58867	0.0220731	166.702
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Owner	1960-79	0.579408	0.420592	0	0.00110366	8.23672	0.0220731	166.702
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Owner	1980-99	0.579408	0.420592	0	1.10366e-19	9.35513e-20	0.0220731	166.702
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Owner	2000-09	0.579408	0.420592	0	1.10366e-19	9.35513e-20	0.0220731	166.702
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Owner	2010s	0.579408	0.420592	0	0.00110366	8.03379	0.0220731	166.702
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Owner	<1940	0.579408	0.420592	0	0.00110366	6.81154	0.0220731	166.702
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Renter	1940-59	0.685291	0.314709	0	0.0310693	116.523	0.310693	2261.64
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Renter	1960-79	0.685291	0.314709	0	0.0155347	111.748	0.310693	2261.64
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Renter	1980-99	0.685291	0.314709	0	1.55347e-18	1.26921e-18	0.310693	2261.64
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Renter	2000-09	0.685291	0.314709	0	1.55347e-18	1.26921e-18	0.310693	2261.64
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Renter	2010s	0.685291	0.314709	0	0.0155347	108.994	0.310693	2261.64
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	Renter	<1940	0.685291	0.314709	0	0.0155347	92.4122	0.310693	2261.64
Level 1 charger	400%+	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	0.134017	239.431	1.07214	8325.79
Level 1 charger	400%+	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.268035	2272.51	1.07214	8325.79
Level 1 charger	400%+	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	6.70087e-18	5.76822e-18	1.07214	8325.79
Level 1 charger	400%+	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	0.536069	4151.95	1.07214	8325.79
Level 1 charger	400%+	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	0.134017	1043.16	1.07214	8325.79
Level 1 charger	400%+	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	0.134017	618.745	1.07214	8325.79
Level 1 charger	400%+	Multi-Family with 5+ Units	Owner	1940-59	0.518022	0.481978	0	0.00675848	13.3891	0.0540678	465.583
Level 1 charger	400%+	Multi-Family with 5+ Units	Owner	1960-79	0.518022	0.481978	0	0.013517	127.08	0.0540678	465.583
Level 1 charger	400%+	Multi-Family with 5+ Units	Owner	1980-99	0.518022	0.481978	0	3.37924e-19	3.22562e-19	0.0540678	465.583
Level 1 charger	400%+	Multi-Family with 5+ Units	Owner	2000-09	0.518022	0.481978	0	0.0270339	232.179	0.0540678	465.583
Level 1 charger	400%+	Multi-Family with 5+ Units	Owner	2010s	0.518022	0.481978	0	0.00675848	58.334	0.0540678	465.583
Level 1 charger	400%+	Multi-Family with 5+ Units	Owner	<1940	0.518022	0.481978	0	0.00675848	34.6006	0.0540678	465.583
Level 1 charger	400%+	Multi-Family with 5+ Units	Renter	1940-59	0.750574	0.249426	0	0.080504	139.581	0.644032	4853.68
Level 1 charger	400%+	Multi-Family with 5+ Units	Renter	1960-79	0.750574	0.249426	0	0.161008	1324.8	0.644032	4853.68
Level 1 charger	400%+	Multi-Family with 5+ Units	Renter	1980-99	0.750574	0.249426	0	4.0252e-18	3.3627e-18	0.644032	4853.68
Level 1 charger	400%+	Multi-Family with 5+ Units	Renter	2000-09	0.750574	0.249426	0	0.322016	2420.46	0.644032	4853.68
Level 1 charger	400%+	Multi-Family with 5+ Units	Renter	2010s	0.750574	0.249426	0	0.080504	608.129	0.644032	4853.68
Level 1 charger	400%+	Multi-Family with 5+ Units	Renter	<1940	0.750574	0.249426	0	0.080504	360.71	0.644032	4853.68
Level 1 charger	400%+	Single-Family Attached	Not Available	1940-59	0	0	1	0.110262	32.4219	2.3155	7227.57
Level 1 charger	400%+	Single-Family Attached	Not Available	1960-79	0	0	1	0.771833	2721.2	2.3155	7227.57
Level 1 charger	400%+	Single-Family Attached	Not Available	1980-99	0	0	1	0.441048	1073.45	2.3155	7227.57
Level 1 charger	400%+	Single-Family Attached	Not Available	2000-09	0	0	1	0.330786	1763.7	2.3155	7227.57
Level 1 charger	400%+	Single-Family Attached	Not Available	2010s	0	0	1	0.661571	1553.02	2.3155	7227.57
Level 1 charger	400%+	Single-Family Attached	Not Available	<1940	0	0	1	0.110262	83.7855	2.3155	7227.57
Level 1 charger	400%+	Single-Family Attached	Owner	1940-59	0.00836794	0.991632	0	0.0665597	20.0541	1.39775	4470.52
Level 1 charger	400%+	Single-Family Attached	Owner	1960-79	0.00836794	0.991632	0	0.465918	1683.16	1.39775	4470.52
Level 1 charger	400%+	Single-Family Attached	Owner	1980-99	0.00836794	0.991632	0	0.266239	663.968	1.39775	4470.52
Level 1 charger	400%+	Single-Family Attached	Owner	2000-09	0.00836794	0.991632	0	0.199679	1090.91	1.39775	4470.52
Level 1 charger	400%+	Single-Family Attached	Owner	2010s	0.00836794	0.991632	0	0.399358	960.6	1.39775	4470.52
Level 1 charger	400%+	Single-Family Attached	Owner	<1940	0.00836794	0.991632	0	0.0665597	51.8244	1.39775	4470.52
Level 1 charger	400%+	Single-Family Attached	Renter	1940-59	0.014816	0.985184	0	0.00547297	1.47826	0.114932	329.538
Level 1 charger	400%+	Single-Family Attached	Renter	1960-79	0.014816	0.985184	0	0.0383108	124.072	0.114932	329.538
Level 1 charger	400%+	Single-Family Attached	Renter	1980-99	0.014816	0.985184	0	0.0218919	48.9434	0.114932	329.538
Level 1 charger	400%+	Single-Family Attached	Renter	2000-09	0.014816	0.985184	0	0.0164189	80.4151	0.114932	329.538
Level 1 charger	400%+	Single-Family Attached	Renter	2010s	0.014816	0.985184	0	0.0328378	70.8092	0.114932	329.538
Level 1 charger	400%+	Single-Family Attached	Renter	<1940	0.014816	0.985184	0	0.00547297	3.82016	0.114932	329.538
Level 1 charger	400%+	Single-Family Detached	Not Available	1940-59	0	0	1	4.00872	13567.4	4.00872	13567.4
Level 1 charger	400%+	Single-Family Detached	Not Available	1960-79	0	0	1	2.44977	14328.2	2.44977	14328.2
Level 1 charger	400%+	Single-Family Detached	Not Available	1980-99	0	0	1	3.1179	20641.8	3.1179	20641.8
Level 1 charger	400%+	Single-Family Detached	Not Available	2000-09	0	0	1	2.00436	8846.55	2.00436	8846.55
Level 1 charger	400%+	Single-Family Detached	Not Available	2010s	0	0	1	1.22489	5591.46	1.22489	5591.46
Level 1 charger	400%+	Single-Family Detached	Not Available	<1940	0	0	1	2.78384	12689.9	2.78384	12689.9
Level 1 charger	400%+	Single-Family Detached	Owner	1940-59	0.0264578	0.973542	0	3.58278	12099.2	3.58278	12099.2
Level 1 charger	400%+	Single-Family Detached	Owner	1960-79	0.110976	0.889024	0	2.18948	12777.6	2.18948	12777.6
Level 1 charger	400%+	Single-Family Detached	Owner	1980-99	0.0240295	0.97597	0	2.78661	18407.9	2.78661	18407.9
Level 1 charger	400%+	Single-Family Detached	Owner	2000-09	0	1	0	1.79139	7889.17	1.79139	7889.17
Level 1 charger	400%+	Single-Family Detached	Owner	2010s	0.167252	0.832748	0	1.09474	4986.35	1.09474	4986.35
Level 1 charger	400%+	Single-Family Detached	Owner	<1940	0.0760355	0.923965	0	2.48804	11316.6	2.48804	11316.6
Level 1 charger	400%+	Single-Family Detached	Renter	1940-59	0.0695317	0.930468	0	0.0119541	42.0312	0.0119541	42.0312
Level 1 charger	400%+	Single-Family Detached	Renter	1960-79	0.255532	0.744468	0	0.00730528	44.3881	0.00730528	44.3881
Level 1 charger	400%+	Single-Family Detached	Renter	1980-99	0.0634077	0.936592	0	0.00929763	63.9472	0.00929763	63.9472
Level 1 charger	400%+	Single-Family Detached	Renter	2000-09	0	1	0	0.00597705	27.4061	0.00597705	27.4061
Level 1 charger	400%+	Single-Family Detached	Renter	2010s	0.355777	0.644223	0	0.00365264	17.322	0.00365264	17.322
Level 1 charger	400%+	Single-Family Detached	Renter	<1940	0.184525	0.815475	0	0.00830145	39.3126	0.00830145	39.3126
Level 1 charger	Not Available	Mobile Home	Not Available	1940-59	0.089963	0.910037	0	4.72597e-17	4.99902e-17	67.1087	433474
Level 1 charger	Not Available	Mobile Home	Not Available	1960-79	0.089963	0.910037	0	0.945193	8759.44	67.1087	433474
Level 1 charger	Not Available	Mobile Home	Not Available	1980-99	0.089963	0.910037	0	1.41779	6976.13	67.1087	433474
Level 1 charger	Not Available	Mobile Home	Not Available	2000-09	0.089963	0.910037	0	0.472597	571.153	67.1087	433474
Level 1 charger	Not Available	Mobile Home	Not Available	2010s	0.089963	0.910037	0	4.72597e-17	4.99902e-17	67.1087	433474
Level 1 charger	Not Available	Mobile Home	Not Available	<1940	0.089963	0.910037	0	4.72597e-17	4.99902e-17	67.1087	433474
Level 1 charger	Not Available	Mobile Home	Owner	1940-59	0	0	1	2.92728e-17	3.10094e-17	41.5674	268888
Level 1 charger	Not Available	Mobile Home	Owner	1960-79	0	0	1	0.585456	5433.56	41.5674	268888
Level 1 charger	Not Available	Mobile Home	Owner	1980-99	0	0	1	0.878185	4327.36	41.5674	268888
Level 1 charger	Not Available	Mobile Home	Owner	2000-09	0	0	1	0.292728	354.291	41.5674	268888
Level 1 charger	Not Available	Mobile Home	Owner	2010s	0	0	1	2.92728e-17	3.10094e-17	41.5674	268888
Level 1 charger	Not Available	Mobile Home	Owner	<1940	0	0	1	2.92728e-17	3.10094e-17	41.5674	268888
Level 1 charger	Not Available	Mobile Home	Renter	1940-59	0	0	1	2.14366e-18	2.25531e-18	3.04399	19556.2
Level 1 charger	Not Available	Mobile Home	Renter	1960-79	0	0	1	0.0428732	395.182	3.04399	19556.2
Level 1 charger	Not Available	Mobile Home	Renter	1980-99	0	0	1	0.0643097	314.728	3.04399	19556.2
Level 1 charger	Not Available	Mobile Home	Renter	2000-09	0	0	1	0.0214366	25.7676	3.04399	19556.2
Level 1 charger	Not Available	Mobile Home	Renter	2010s	0	0	1	2.14366e-18	2.25531e-18	3.04399	19556.2
Level 1 charger	Not Available	Mobile Home	Renter	<1940	0	0	1	2.14366e-18	2.25531e-18	3.04399	19556.2
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Not Available	1940-59	0.719904	0.280096	0	0.890988	4276.61	8.90988	83006.8
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Not Available	1960-79	0.719904	0.280096	0	0.445494	4101.36	8.90988	83006.8
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Not Available	1980-99	0.719904	0.280096	0	4.45494e-17	4.65826e-17	8.90988	83006.8
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Not Available	2000-09	0.719904	0.280096	0	4.45494e-17	4.65826e-17	8.90988	83006.8
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Not Available	2010s	0.719904	0.280096	0	0.445494	4000.31	8.90988	83006.8
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Not Available	<1940	0.719904	0.280096	0	0.445494	3391.71	8.90988	83006.8
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Owner	1940-59	0	0	1	0.0130083	62.849	0.130083	1219.87
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Owner	1960-79	0	0	1	0.00650417	60.2735	0.130083	1219.87
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Owner	1980-99	0	0	1	6.50417e-19	6.84577e-19	0.130083	1219.87
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Owner	2000-09	0	0	1	6.50417e-19	6.84577e-19	0.130083	1219.87
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Owner	2010s	0	0	1	0.00650417	58.7886	0.130083	1219.87
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Owner	<1940	0	0	1	0.00650417	49.8446	0.130083	1219.87
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	1	0.688679	3302.58	6.88679	64101.4
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Renter	1960-79	0	0	1	0.34434	3167.24	6.88679	64101.4
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Renter	1980-99	0	0	1	3.4434e-17	3.5973e-17	6.88679	64101.4
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Renter	2000-09	0	0	1	3.4434e-17	3.5973e-17	6.88679	64101.4
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Renter	2010s	0	0	1	0.34434	3089.21	6.88679	64101.4
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	Renter	<1940	0	0	1	0.34434	2619.22	6.88679	64101.4
Level 1 charger	Not Available	Multi-Family with 5+ Units	Not Available	1940-59	0.713705	0.286295	0	0.895305	1946.61	7.16244	67689.8
Level 1 charger	Not Available	Multi-Family with 5+ Units	Not Available	1960-79	0.713705	0.286295	0	1.79061	18475.8	7.16244	67689.8
Level 1 charger	Not Available	Multi-Family with 5+ Units	Not Available	1980-99	0.713705	0.286295	0	4.47653e-17	4.68964e-17	7.16244	67689.8
Level 1 charger	Not Available	Multi-Family with 5+ Units	Not Available	2000-09	0.713705	0.286295	0	3.58122	33755.9	7.16244	67689.8
Level 1 charger	Not Available	Multi-Family with 5+ Units	Not Available	2010s	0.713705	0.286295	0	0.895305	8481.01	7.16244	67689.8
Level 1 charger	Not Available	Multi-Family with 5+ Units	Not Available	<1940	0.713705	0.286295	0	0.895305	5030.48	7.16244	67689.8
Level 1 charger	Not Available	Multi-Family with 5+ Units	Owner	1940-59	0	0	1	0.0173753	37.9514	0.139003	1319.69
Level 1 charger	Not Available	Multi-Family with 5+ Units	Owner	1960-79	0	0	1	0.0347507	360.207	0.139003	1319.69
Level 1 charger	Not Available	Multi-Family with 5+ Units	Owner	1980-99	0	0	1	8.68767e-19	9.143e-19	0.139003	1319.69
Level 1 charger	Not Available	Multi-Family with 5+ Units	Owner	2000-09	0	0	1	0.0695014	658.111	0.139003	1319.69
Level 1 charger	Not Available	Multi-Family with 5+ Units	Owner	2010s	0	0	1	0.0173753	165.347	0.139003	1319.69
Level 1 charger	Not Available	Multi-Family with 5+ Units	Owner	<1940	0	0	1	0.0173753	98.075	0.139003	1319.69
Level 1 charger	Not Available	Multi-Family with 5+ Units	Renter	1940-59	0	0	1	0.663231	1440.96	5.30584	50106.6
Level 1 charger	Not Available	Multi-Family with 5+ Units	Renter	1960-79	0	0	1	1.32646	13676.5	5.30584	50106.6
Level 1 charger	Not Available	Multi-Family with 5+ Units	Renter	1980-99	0	0	1	3.31615e-17	3.47146e-17	5.30584	50106.6
Level 1 charger	Not Available	Multi-Family with 5+ Units	Renter	2000-09	0	0	1	2.65292	24987.5	5.30584	50106.6
Level 1 charger	Not Available	Multi-Family with 5+ Units	Renter	2010s	0	0	1	0.663231	6277.98	5.30584	50106.6
Level 1 charger	Not Available	Multi-Family with 5+ Units	Renter	<1940	0	0	1	0.663231	3723.76	5.30584	50106.6
Level 1 charger	Not Available	Single-Family Attached	Not Available	1940-59	0.0160783	0.983922	0	0.485071	170.222	10.1865	37946.3
Level 1 charger	Not Available	Single-Family Attached	Not Available	1960-79	0.0160783	0.983922	0	3.3955	14286.9	10.1865	37946.3
Level 1 charger	Not Available	Single-Family Attached	Not Available	1980-99	0.0160783	0.983922	0	1.94028	5635.84	10.1865	37946.3
Level 1 charger	Not Available	Single-Family Attached	Not Available	2000-09	0.0160783	0.983922	0	1.45521	9259.8	10.1865	37946.3
Level 1 charger	Not Available	Single-Family Attached	Not Available	2010s	0.0160783	0.983922	0	2.91043	8153.68	10.1865	37946.3
Level 1 charger	Not Available	Single-Family Attached	Not Available	<1940	0.0160783	0.983922	0	0.485071	439.892	10.1865	37946.3
Level 1 charger	Not Available	Single-Family Attached	Owner	1940-59	0	0	1	0.191558	65.5855	4.02272	14620.5
Level 1 charger	Not Available	Single-Family Attached	Owner	1960-79	0	0	1	1.34091	5504.65	4.02272	14620.5
Level 1 charger	Not Available	Single-Family Attached	Owner	1980-99	0	0	1	0.766233	2171.46	4.02272	14620.5
Level 1 charger	Not Available	Single-Family Attached	Owner	2000-09	0	0	1	0.574675	3567.75	4.02272	14620.5
Level 1 charger	Not Available	Single-Family Attached	Owner	2010s	0	0	1	1.14935	3141.57	4.02272	14620.5
Level 1 charger	Not Available	Single-Family Attached	Owner	<1940	0	0	1	0.191558	169.488	4.02272	14620.5
Level 1 charger	Not Available	Single-Family Attached	Renter	1940-59	0	0	1	0.0669294	24.4868	1.40552	5458.67
Level 1 charger	Not Available	Single-Family Attached	Renter	1960-79	0	0	1	0.468506	2055.2	1.40552	5458.67
Level 1 charger	Not Available	Single-Family Attached	Renter	1980-99	0	0	1	0.267718	810.729	1.40552	5458.67
Level 1 charger	Not Available	Single-Family Attached	Renter	2000-09	0	0	1	0.200788	1332.05	1.40552	5458.67
Level 1 charger	Not Available	Single-Family Attached	Renter	2010s	0	0	1	0.401577	1172.93	1.40552	5458.67
Level 1 charger	Not Available	Single-Family Attached	Renter	<1940	0	0	1	0.0669294	63.2795	1.40552	5458.67
Level 1 charger	Not Available	Single-Family Detached	Not Available	1940-59	0.0473124	0.952688	0	14.3079	57898.4	14.3079	57898.4
Level 1 charger	Not Available	Single-Family Detached	Not Available	1960-79	0.18574	0.81426	0	8.74372	61145.1	8.74372	61145.1
Level 1 charger	Not Available	Single-Family Detached	Not Available	1980-99	0.0430548	0.956945	0	11.1284	88087.9	11.1284	88087.9
Level 1 charger	Not Available	Single-Family Detached	Not Available	2000-09	0	1	0	7.15395	37752.2	7.15395	37752.2
Level 1 charger	Not Available	Single-Family Detached	Not Available	2010s	0.26848	0.73152	0	4.37186	23861.3	4.37186	23861.3
Level 1 charger	Not Available	Single-Family Detached	Not Available	<1940	0.130721	0.869279	0	9.93605	54153.5	9.93605	54153.5
Level 1 charger	Not Available	Single-Family Detached	Owner	1940-59	0	0	1	11.4837	45864.6	11.4837	45864.6
Level 1 charger	Not Available	Single-Family Detached	Owner	1960-79	0	0	1	7.01781	48436.5	7.01781	48436.5
Level 1 charger	Not Available	Single-Family Detached	Owner	1980-99	0	0	1	8.93176	69779.5	8.93176	69779.5
Level 1 charger	Not Available	Single-Family Detached	Owner	2000-09	0	0	1	5.74185	29905.7	5.74185	29905.7
