Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic	source_count	source_weight	fallback_count	fallback_weight
Middle Atlantic	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	32	90363.9	32	90363.9
Middle Atlantic	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	32	90363.9	32	90363.9
Middle Atlantic	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	32	90363.9	32	90363.9
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	32	90363.9	32	90363.9
Middle Atlantic	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	65	156545	65	156545
Middle Atlantic	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	65	156545	65	156545
Middle Atlantic	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	65	156545	65	156545
Middle Atlantic	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	65	156545	65	156545
Middle Atlantic	Single-Family Attached	1	1980-99	0	0.582975	0.0216393	0.395386	9	48683.4	21	72447.5
Middle Atlantic	Single-Family Attached	2	1980-99	0.0319686	0.606945	0.00824581	0.352841	41	240591	41	240591
Middle Atlantic	Single-Family Attached	3	1980-99	0.099284	0.540433	0	0.360283	11	69085.3	11	69085.3
Middle Atlantic	Single-Family Attached	4+	1980-99	0	1	0	0	0	0	12	71677.9
Middle Atlantic	Single-Family Detached	1	1980-99	0	0.525333	0.0383782	0.436289	57	380023	57	380023
Middle Atlantic	Single-Family Detached	2	1980-99	0.0170186	0.333785	0.0170186	0.632178	135	832512	135	832512
Middle Atlantic	Single-Family Detached	3	1980-99	0.244639	0.433706	0	0.321654	2	11033	12	40657.7
Middle Atlantic	Single-Family Detached	4+	1980-99	0	1	0	0	0	0	10	58505.5
Middle Atlantic	Mobile Home	1	2000-09	0	1	0	0	6	10395.8	20	20432.7
Middle Atlantic	Mobile Home	2	2000-09	0	1	0	0	6	10395.8	20	20432.7
Middle Atlantic	Mobile Home	3	2000-09	0	1	0	0	6	10395.8	20	20432.7
Middle Atlantic	Mobile Home	4+	2000-09	0	1	0	0	6	10395.8	20	20432.7
Middle Atlantic	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	9	23887.2	19	43128.9
Middle Atlantic	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	9	23887.2	19	43128.9
Middle Atlantic	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	9	23887.2	19	43128.9
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	9	23887.2	19	43128.9
Middle Atlantic	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	32	74753.7	32	74753.7
Middle Atlantic	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	32	74753.7	32	74753.7
Middle Atlantic	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	32	74753.7	32	74753.7
Middle Atlantic	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	32	74753.7	32	74753.7
Middle Atlantic	Single-Family Attached	1	2000-09	0	0.417692	0.142711	0.439598	8	47679.3	12	61107.7
Middle Atlantic	Single-Family Attached	2	2000-09	0	0.486054	0	0.513946	15	81083.7	15	81083.7
Middle Atlantic	Single-Family Attached	3	2000-09	0	0.644082	0	0.355918	10	64393	10	64393
Middle Atlantic	Single-Family Attached	4+	2000-09	0	1	0	0	0	0	12	71677.9
Middle Atlantic	Single-Family Detached	1	2000-09	0	0.325266	0	0.674734	19	122480	19	122480
Middle Atlantic	Single-Family Detached	2	2000-09	0.0510714	0.178087	0.0134576	0.757384	59	370375	59	370375
Middle Atlantic	Single-Family Detached	3	2000-09	0.194951	0.372661	0.0463119	0.386075	1	6653.34	89	438387
Middle Atlantic	Single-Family Detached	4+	2000-09	0	1	0	0	0	0	10	58505.5
Middle Atlantic	Mobile Home	1	2010s	0	1	0	0	2	2970.26	20	20432.7
Middle Atlantic	Mobile Home	2	2010s	0	1	0	0	2	2970.26	20	20432.7
Middle Atlantic	Mobile Home	3	2010s	0	1	0	0	2	2970.26	20	20432.7
Middle Atlantic	Mobile Home	4+	2010s	0	1	0	0	2	2970.26	20	20432.7
Middle Atlantic	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	10	19241.6	10	19241.6
Middle Atlantic	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	10	19241.6	10	19241.6
Middle Atlantic	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	10	19241.6	10	19241.6
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	10	19241.6	10	19241.6
Middle Atlantic	Multi-Family with 5+ Units	1	2010s	0	1	0	0	42	73514.4	42	73514.4
Middle Atlantic	Multi-Family with 5+ Units	2	2010s	0	1	0	0	42	73514.4	42	73514.4
Middle Atlantic	Multi-Family with 5+ Units	3	2010s	0	1	0	0	42	73514.4	42	73514.4
Middle Atlantic	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	42	73514.4	42	73514.4
Middle Atlantic	Single-Family Attached	1	2010s	0	0.417692	0.142711	0.439598	4	13428.4	12	61107.7
Middle Atlantic	Single-Family Attached	2	2010s	0.0833976	0.424637	0.11554	0.376426	14	60727.8	14	60727.8
Middle Atlantic	Single-Family Attached	3	2010s	0	0.604552	0	0.395448	3	13108.5	13	77501.5
Middle Atlantic	Single-Family Attached	4+	2010s	0	1	0	0	0	0	12	71677.9
Middle Atlantic	Single-Family Detached	1	2010s	0	0.237594	0	0.762406	17	72793.8	17	72793.8
Middle Atlantic	Single-Family Detached	2	2010s	0.0613727	0.319548	0.0617956	0.557283	34	159063	34	159063
Middle Atlantic	Single-Family Detached	3	2010s	0.194951	0.372661	0.0463119	0.386075	1	4782.74	89	438387
Middle Atlantic	Single-Family Detached	4+	2010s	0	1	0	0	0	0	10	58505.5
Middle Atlantic	Mobile Home	1	<1940	0	1	0	0	0	0	101	124339
Middle Atlantic	Mobile Home	2	<1940	0	1	0	0	0	0	101	124339
Middle Atlantic	Mobile Home	3	<1940	0	1	0	0	0	0	101	124339
Middle Atlantic	Mobile Home	4+	<1940	0	1	0	0	0	0	101	124339
Middle Atlantic	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	61	147884	61	147884
Middle Atlantic	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	61	147884	61	147884
Middle Atlantic	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	61	147884	61	147884
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	61	147884	61	147884
Middle Atlantic	Multi-Family with 5+ Units	1	<1940	0	1	0	0	105	237215	105	237215
Middle Atlantic	Multi-Family with 5+ Units	2	<1940	0	1	0	0	105	237215	105	237215
Middle Atlantic	Multi-Family with 5+ Units	3	<1940	0	1	0	0	105	237215	105	237215
Middle Atlantic	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	105	237215	105	237215
Middle Atlantic	Single-Family Attached	1	<1940	0	0.588969	0	0.411031	2	14783.5	11	57705.6
Middle Atlantic	Single-Family Attached	2	<1940	0.184665	0.583663	0.0270521	0.20462	52	354205	52	354205
Middle Atlantic	Single-Family Attached	3	<1940	0.115317	0.683335	0	0.201349	10	63267.9	10	63267.9
Middle Atlantic	Single-Family Attached	4+	<1940	0	1	0	0	1	7088.62	12	71677.9
Middle Atlantic	Single-Family Detached	1	<1940	0	0.188757	0.121323	0.689921	48	283571	48	283571
Middle Atlantic	Single-Family Detached	2	<1940	0.138735	0.260957	0.0701339	0.530174	240	1.46984e+06	240	1.46984e+06
Middle Atlantic	Single-Family Detached	3	<1940	0.429416	0.376575	0	0.194009	13	75666.9	13	75666.9
Middle Atlantic	Single-Family Detached	4+	<1940	0	1	0	0	2	12379.8	10	58505.5
Mountain North	Mobile Home	1	1940-59	0	1	0	0	1	573.825	258	367943
Mountain North	Mobile Home	2	1940-59	0	1	0	0	1	573.825	258	367943
Mountain North	Mobile Home	3	1940-59	0	1	0	0	1	573.825	258	367943
Mountain North	Mobile Home	4+	1940-59	0	1	0	0	1	573.825	258	367943
Mountain North	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	7	3424.23	39	94696.6
Mountain North	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	7	3424.23	39	94696.6
Mountain North	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	7	3424.23	39	94696.6
Mountain North	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	7	3424.23	39	94696.6
Mountain North	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	8	6596.4	72	216708
Mountain North	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	8	6596.4	72	216708
Mountain North	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	8	6596.4	72	216708
Mountain North	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	8	6596.4	72	216708
Mountain North	Single-Family Attached	1	1940-59	0	0.6269	0.0284607	0.34464	6	18224.3	28	147570
Mountain North	Single-Family Attached	2	1940-59	0	0.881664	0	0.118336	1	981.676	12	66449.4
Mountain North	Single-Family Attached	3	1940-59	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Mountain North	Single-Family Attached	4+	1940-59	0	1	0	0	0	0	14	74106.6
Mountain North	Single-Family Detached	1	1940-59	0	0.498176	0.00449323	0.497331	116	304945	116	304945
Mountain North	Single-Family Detached	2	1940-59	0.0244456	0.453446	0.014093	0.508016	53	98826.7	53	98826.7
Mountain North	Single-Family Detached	3	1940-59	0.0210452	0.599602	0.0189829	0.36037	4	8913.66	83	413491
Mountain North	Single-Family Detached	4+	1940-59	0	1	0	0	0	0	13	68714
Mountain North	Mobile Home	1	1960-79	0	1	0	0	31	23323.5	31	23323.5
Mountain North	Mobile Home	2	1960-79	0	1	0	0	31	23323.5	31	23323.5
Mountain North	Mobile Home	3	1960-79	0	1	0	0	31	23323.5	31	23323.5
Mountain North	Mobile Home	4+	1960-79	0	1	0	0	31	23323.5	31	23323.5
Mountain North	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	16	29648.1	16	29648.1
Mountain North	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	16	29648.1	16	29648.1
Mountain North	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	16	29648.1	16	29648.1
Mountain North	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	16	29648.1	16	29648.1
Mountain North	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	34	57379	34	57379
Mountain North	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	34	57379	34	57379
Mountain North	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	34	57379	34	57379
Mountain North	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	34	57379	34	57379
Mountain North	Single-Family Attached	1	1960-79	0	0.700327	0.0265488	0.273124	9	22645.9	66	293314
Mountain North	Single-Family Attached	2	1960-79	0.0232158	0.595412	0.0579309	0.323441	9	21246.1	52	194518
Mountain North	Single-Family Attached	3	1960-79	0.0273293	0.787784	0.0273293	0.157558	2	7127.29	32	128470
Mountain North	Single-Family Attached	4+	1960-79	0	1	0	0	0	0	14	74106.6
Mountain North	Single-Family Detached	1	1960-79	0	0.620428	0.0164421	0.36313	132	402653	132	402653
Mountain North	Single-Family Detached	2	1960-79	0.0124525	0.336758	0.0220052	0.628784	64	206974	64	206974
Mountain North	Single-Family Detached	3	1960-79	0	0.57851	0	0.42149	3	11979.9	15	86313.7
Mountain North	Single-Family Detached	4+	1960-79	0	1	0	0	3	12868.1	13	68714
Mountain North	Mobile Home	1	1980-99	0	1	0	0	35	25456.4	35	25456.4
Mountain North	Mobile Home	2	1980-99	0	1	0	0	35	25456.4	35	25456.4
Mountain North	Mobile Home	3	1980-99	0	1	0	0	35	25456.4	35	25456.4
Mountain North	Mobile Home	4+	1980-99	0	1	0	0	35	25456.4	35	25456.4
Mountain North	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	8	13727.8	69	160596
Mountain North	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	8	13727.8	69	160596
Mountain North	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	8	13727.8	69	160596
Mountain North	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	8	13727.8	69	160596
Mountain North	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	32	53362.1	32	53362.1
Mountain North	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	32	53362.1	32	53362.1
Mountain North	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	32	53362.1	32	53362.1
Mountain North	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	32	53362.1	32	53362.1
Mountain North	Single-Family Attached	1	1980-99	0	0.682299	0	0.317701	12	36371.4	12	36371.4
Mountain North	Single-Family Attached	2	1980-99	0	0.528404	0	0.471596	15	41359.2	15	41359.2
Mountain North	Single-Family Attached	3	1980-99	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Mountain North	Single-Family Attached	4+	1980-99	0	1	0	0	0	0	14	74106.6
Mountain North	Single-Family Detached	1	1980-99	0	0.38892	0.0175786	0.593501	117	427217	117	427217
Mountain North	Single-Family Detached	2	1980-99	0.018288	0.486611	0.0201784	0.474923	98	417634	98	417634
Mountain North	Single-Family Detached	3	1980-99	0	0.714537	0	0.285463	13	48389.8	13	48389.8
Mountain North	Single-Family Detached	4+	1980-99	0	1	0	0	2	6633.21	13	68714
Mountain North	Mobile Home	1	2000-09	0	1	0	0	10	7299.26	10	7299.26
Mountain North	Mobile Home	2	2000-09	0	1	0	0	10	7299.26	10	7299.26
Mountain North	Mobile Home	3	2000-09	0	1	0	0	10	7299.26	10	7299.26
Mountain North	Mobile Home	4+	2000-09	0	1	0	0	10	7299.26	10	7299.26
Mountain North	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	3	4287.57	26	48626.1
Mountain North	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	3	4287.57	26	48626.1
Mountain North	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	3	4287.57	26	48626.1
Mountain North	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	3	4287.57	26	48626.1
Mountain North	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	13	22913.6	13	22913.6
Mountain North	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	13	22913.6	13	22913.6
Mountain North	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	13	22913.6	13	22913.6
Mountain North	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	13	22913.6	13	22913.6
Mountain North	Single-Family Attached	1	2000-09	0	0.687688	0	0.312312	6	21621.7	10	32092.6
Mountain North	Single-Family Attached	2	2000-09	0.0346202	0.464502	0.0839594	0.416919	15	45120.5	15	45120.5
Mountain North	Single-Family Attached	3	2000-09	0.0482181	0.760632	0.0482181	0.142932	1	3776.9	20	72814.8
Mountain North	Single-Family Attached	4+	2000-09	0	1	0	0	0	0	14	74106.6
Mountain North	Single-Family Detached	1	2000-09	0	0.341509	0.0279792	0.630512	72	236342	72	236342
Mountain North	Single-Family Detached	2	2000-09	0.0301141	0.408088	0.0186912	0.543107	80	290118	80	290118
Mountain North	Single-Family Detached	3	2000-09	0.0214897	0.389962	0.0214897	0.567059	5	18737.6	23	109353
Mountain North	Single-Family Detached	4+	2000-09	0	1	0	0	0	0	13	68714
Mountain North	Mobile Home	1	2010s	0	1	0	0	5	3886	15	11185.3
Mountain North	Mobile Home	2	2010s	0	1	0	0	5	3886	15	11185.3
Mountain North	Mobile Home	3	2010s	0	1	0	0	5	3886	15	11185.3
Mountain North	Mobile Home	4+	2010s	0	1	0	0	5	3886	15	11185.3
Mountain North	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	4	5964.56	26	48626.1
Mountain North	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	4	5964.56	26	48626.1
Mountain North	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	4	5964.56	26	48626.1
Mountain North	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	4	5964.56	26	48626.1
Mountain North	Multi-Family with 5+ Units	1	2010s	0	1	0	0	20	34845.2	20	34845.2
Mountain North	Multi-Family with 5+ Units	2	2010s	0	1	0	0	20	34845.2	20	34845.2
Mountain North	Multi-Family with 5+ Units	3	2010s	0	1	0	0	20	34845.2	20	34845.2
Mountain North	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	20	34845.2	20	34845.2
Mountain North	Single-Family Attached	1	2010s	0	0.687688	0	0.312312	4	10470.9	10	32092.6
Mountain North	Single-Family Attached	2	2010s	0.0508031	0.375728	0.0800275	0.493441	8	31055.7	23	76176.2
Mountain North	Single-Family Attached	3	2010s	0.0482181	0.760632	0.0482181	0.142932	5	17445	20	72814.8
Mountain North	Single-Family Attached	4+	2010s	0	1	0	0	0	0	14	74106.6
Mountain North	Single-Family Detached	1	2010s	0	0.329493	0.0352306	0.635276	49	152911	49	152911
Mountain North	Single-Family Detached	2	2010s	0.00733382	0.516274	0.00733382	0.469058	46	153887	46	153887
Mountain North	Single-Family Detached	3	2010s	0.0214897	0.389962	0.0214897	0.567059	2	15260.1	23	109353
Mountain North	Single-Family Detached	4+	2010s	0	1	0	0	1	7012.8	13	68714
Mountain North	Mobile Home	1	<1940	0	1	0	0	0	0	258	367943
Mountain North	Mobile Home	2	<1940	0	1	0	0	0	0	258	367943
Mountain North	Mobile Home	3	<1940	0	1	0	0	0	0	258	367943
Mountain North	Mobile Home	4+	<1940	0	1	0	0	0	0	258	367943
Mountain North	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	6	7658.71	39	94696.6
Mountain North	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	6	7658.71	39	94696.6
Mountain North	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	6	7658.71	39	94696.6
Mountain North	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	6	7658.71	39	94696.6
Mountain North	Multi-Family with 5+ Units	1	<1940	0	1	0	0	6	7189.69	72	216708
Mountain North	Multi-Family with 5+ Units	2	<1940	0	1	0	0	6	7189.69	72	216708
Mountain North	Multi-Family with 5+ Units	3	<1940	0	1	0	0	6	7189.69	72	216708
Mountain North	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	6	7189.69	72	216708
Mountain North	Single-Family Attached	1	<1940	0	0.6269	0.0284607	0.34464	4	9862.46	28	147570
Mountain North	Single-Family Attached	2	<1940	0	0.881664	0	0.118336	1	2536.88	12	66449.4
Mountain North	Single-Family Attached	3	<1940	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Mountain North	Single-Family Attached	4+	<1940	0	1	0	0	0	0	14	74106.6
Mountain North	Single-Family Detached	1	<1940	0	0.326585	0.0221394	0.651276	69	169803	69	169803
Mountain North	Single-Family Detached	2	<1940	0.0622503	0.603278	0.0358877	0.298584	41	100291	41	100291
Mountain North	Single-Family Detached	3	<1940	0.0210452	0.599602	0.0189829	0.36037	3	4456.61	83	413491
Mountain North	Single-Family Detached	4+	<1940	0	1	0	0	0	0	13	68714
Mountain South	Mobile Home	1	1940-59	0	1	0	0	3	5591.76	258	367943
Mountain South	Mobile Home	2	1940-59	0	1	0	0	3	5591.76	258	367943
Mountain South	Mobile Home	3	1940-59	0	1	0	0	3	5591.76	258	367943
Mountain South	Mobile Home	4+	1940-59	0	1	0	0	3	5591.76	258	367943
Mountain South	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	2	3974.97	39	94696.6
Mountain South	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	2	3974.97	39	94696.6
Mountain South	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	2	3974.97	39	94696.6
Mountain South	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	2	3974.97	39	94696.6
Mountain South	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	4	5642.14	72	216708
Mountain South	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	4	5642.14	72	216708
Mountain South	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	4	5642.14	72	216708
Mountain South	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	4	5642.14	72	216708
Mountain South	Single-Family Attached	1	1940-59	0	0.6269	0.0284607	0.34464	6	11974.5	28	147570
Mountain South	Single-Family Attached	2	1940-59	0	0.881664	0	0.118336	2	6379.73	12	66449.4
Mountain South	Single-Family Attached	3	1940-59	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Mountain South	Single-Family Attached	4+	1940-59	0	1	0	0	0	0	14	74106.6
Mountain South	Single-Family Detached	1	1940-59	0	0.578618	0.0374708	0.383911	53	216028	53	216028
Mountain South	Single-Family Detached	2	1940-59	0.0548861	0.459214	0.0245239	0.461376	1	1281.8	155	940193
Mountain South	Single-Family Detached	3	1940-59	0.0210452	0.599602	0.0189829	0.36037	0	0	83	413491
Mountain South	Single-Family Detached	4+	1940-59	0	1	0	0	0	0	13	68714
Mountain South	Mobile Home	1	1960-79	0	1	0	0	19	26521.2	19	26521.2
Mountain South	Mobile Home	2	1960-79	0	1	0	0	19	26521.2	19	26521.2
Mountain South	Mobile Home	3	1960-79	0	1	0	0	19	26521.2	19	26521.2
Mountain South	Mobile Home	4+	1960-79	0	1	0	0	19	26521.2	19	26521.2
Mountain South	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	10	19612	10	19612
Mountain South	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	10	19612	10	19612
Mountain South	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	10	19612	10	19612
Mountain South	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	10	19612	10	19612
Mountain South	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	30	57546.7	30	57546.7
Mountain South	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	30	57546.7	30	57546.7
Mountain South	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	30	57546.7	30	57546.7
Mountain South	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	30	57546.7	30	57546.7
Mountain South	Single-Family Attached	1	1960-79	0	0.880113	0	0.119887	14	30234.8	14	30234.8
Mountain South	Single-Family Attached	2	1960-79	0.0232158	0.595412	0.0579309	0.323441	4	9951.26	52	194518
Mountain South	Single-Family Attached	3	1960-79	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Mountain South	Single-Family Attached	4+	1960-79	0	1	0	0	0	0	14	74106.6
Mountain South	Single-Family Detached	1	1960-79	0	0.579456	0.0215349	0.399009	112	511083	112	511083
Mountain South	Single-Family Detached	2	1960-79	0	0.81603	0	0.18397	14	59356.4	14	59356.4
Mountain South	Single-Family Detached	3	1960-79	0	0.57851	0	0.42149	3	14009.3	15	86313.7
Mountain South	Single-Family Detached	4+	1960-79	0	1	0	0	0	0	13	68714
Mountain South	Mobile Home	1	1980-99	0	1	0	0	36	55351.4	36	55351.4
Mountain South	Mobile Home	2	1980-99	0	1	0	0	36	55351.4	36	55351.4
Mountain South	Mobile Home	3	1980-99	0	1	0	0	36	55351.4	36	55351.4
Mountain South	Mobile Home	4+	1980-99	0	1	0	0	36	55351.4	36	55351.4
Mountain South	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	15	31787.8	15	31787.8
Mountain South	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	15	31787.8	15	31787.8
Mountain South	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	15	31787.8	15	31787.8
Mountain South	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	15	31787.8	15	31787.8
Mountain South	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	33	65123.7	33	65123.7
Mountain South	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	33	65123.7	33	65123.7
Mountain South	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	33	65123.7	33	65123.7
Mountain South	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	33	65123.7	33	65123.7
Mountain South	Single-Family Attached	1	1980-99	0	0.756737	0.0305856	0.212677	20	57137.4	20	57137.4
Mountain South	Single-Family Attached	2	1980-99	0.0395046	0.605893	0.0401695	0.314432	6	16211.9	76	295873
Mountain South	Single-Family Attached	3	1980-99	0.0273293	0.787784	0.0273293	0.157558	0	0	32	128470
Mountain South	Single-Family Attached	4+	1980-99	0	1	0	0	0	0	14	74106.6
Mountain South	Single-Family Detached	1	1980-99	0	0.510229	0.0563436	0.433428	144	756040	144	756040
Mountain South	Single-Family Detached	2	1980-99	0.0534863	0.513212	0.0239055	0.409396	56	273985	56	273985
Mountain South	Single-Family Detached	3	1980-99	0.0380884	0.675342	0.0329751	0.253594	1	4457.88	37	166771
Mountain South	Single-Family Detached	4+	1980-99	0	1	0	0	1	3988.92	13	68714
Mountain South	Mobile Home	1	2000-09	0	1	0	0	10	12665.4	10	12665.4
Mountain South	Mobile Home	2	2000-09	0	1	0	0	10	12665.4	10	12665.4
Mountain South	Mobile Home	3	2000-09	0	1	0	0	10	12665.4	10	12665.4
Mountain South	Mobile Home	4+	2000-09	0	1	0	0	10	12665.4	10	12665.4
Mountain South	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	4	7048.11	26	48626.1
Mountain South	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	4	7048.11	26	48626.1
Mountain South	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	4	7048.11	26	48626.1
Mountain South	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	4	7048.11	26	48626.1
Mountain South	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	23	43120.6	23	43120.6
Mountain South	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	23	43120.6	23	43120.6
Mountain South	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	23	43120.6	23	43120.6
Mountain South	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	23	43120.6	23	43120.6
Mountain South	Single-Family Attached	1	2000-09	0	0.574361	0	0.425639	9	20968.4	15	34663.1
Mountain South	Single-Family Attached	2	2000-09	0.0496664	0.475093	0.0496664	0.425574	10	27391	10	27391
Mountain South	Single-Family Attached	3	2000-09	0.0482181	0.760632	0.0482181	0.142932	1	2354.23	20	72814.8
Mountain South	Single-Family Attached	4+	2000-09	0	1	0	0	0	0	14	74106.6
Mountain South	Single-Family Detached	1	2000-09	0	0.406153	0.0283447	0.565503	109	484318	109	484318
Mountain South	Single-Family Detached	2	2000-09	0.081344	0.340211	0.0335772	0.544868	45	214025	45	214025
Mountain South	Single-Family Detached	3	2000-09	0.0214897	0.389962	0.0214897	0.567059	0	0	23	109353
Mountain South	Single-Family Detached	4+	2000-09	0	1	0	0	0	0	13	68714
Mountain South	Mobile Home	1	2010s	0	1	0	0	5	6576.42	15	19241.9
Mountain South	Mobile Home	2	2010s	0	1	0	0	5	6576.42	15	19241.9
Mountain South	Mobile Home	3	2010s	0	1	0	0	5	6576.42	15	19241.9
Mountain South	Mobile Home	4+	2010s	0	1	0	0	5	6576.42	15	19241.9
Mountain South	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	2	3504.86	26	48626.1
Mountain South	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	2	3504.86	26	48626.1
Mountain South	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	2	3504.86	26	48626.1
Mountain South	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	2	3504.86	26	48626.1
