Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=0F	Option=3F	Option=6F	Option=12F	source_count	source_weight	fallback_count	fallback_weight
7B	Multi-Family with 5+ Units	Yes	No	0	0.770882	0.229118	0	0	0	11	48780.1
7B	Single-Family Attached	No	No	1	0	0	0	0	0	176	358002
7B	Single-Family Attached	Yes	No	0	0.554512	0.379038	0.0664501	1	821.043	206	417366
7B	Single-Family Detached	No	No	1	0	0	0	2	15017.6	176	358002
7B	Single-Family Detached	Yes	No	0	0.554512	0.379038	0.0664501	1	1189.1	206	417366
7B	Mobile Home	No	Yes	1	0	0	0	0	0	13	24607.3
7B	Mobile Home	Yes	Yes	0	0.642678	0.123398	0.233924	0	0	14	22681.9
7B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	0	0	11	32292.7
7B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.535777	0.349533	0.11469	0	0	20	46262.7
7B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	0	0	11	32292.7
7B	Multi-Family with 5+ Units	Yes	Yes	0	0.535777	0.349533	0.11469	0	0	20	46262.7
7B	Single-Family Attached	No	Yes	1	0	0	0	1	1028.56	13	24607.3
7B	Single-Family Attached	Yes	Yes	0	0.642678	0.123398	0.233924	0	0	14	22681.9
7B	Single-Family Detached	No	Yes	1	0	0	0	0	0	13	24607.3
7B	Single-Family Detached	Yes	Yes	0	0.642678	0.123398	0.233924	1	1033.39	14	22681.9
8AK	Mobile Home	No	No	1	0	0	0	1	944.437	26	23137.5
8AK	Mobile Home	Yes	No	0	0.361358	0.515108	0.123534	0	0	20	17035.4
8AK	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	1	1078.84	28	30215.4
8AK	Multi-Family with 2 - 4 Units	Yes	No	0	0.658992	0.258555	0.0824537	1	1088.91	10	10898.1
8AK	Multi-Family with 5+ Units	No	No	1	0	0	0	2	2185.89	28	30215.4
8AK	Multi-Family with 5+ Units	Yes	No	0	0.658992	0.258555	0.0824537	0	0	10	10898.1
8AK	Single-Family Attached	No	No	1	0	0	0	5	3156.59	26	23137.5
8AK	Single-Family Attached	Yes	No	0	0.361358	0.515108	0.123534	2	1202.34	20	17035.4
8AK	Single-Family Detached	No	No	1	0	0	0	20	19036.4	20	19036.4
8AK	Single-Family Detached	Yes	No	0	0.388799	0.478286	0.132915	18	15833.1	18	15833.1
8AK	Mobile Home	No	Yes	1	0	0	0	0	0	20	19846.1
8AK	Mobile Home	Yes	Yes	0	0.599009	0.261893	0.139099	0	0	4	3449.09
8AK	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	0	0	12	13886.5
8AK	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.599009	0.261893	0.139099	0	0	4	3449.09
8AK	Multi-Family with 5+ Units	No	Yes	1	0	0	0	0	0	12	13886.5
8AK	Multi-Family with 5+ Units	Yes	Yes	0	0.599009	0.261893	0.139099	0	0	4	3449.09
8AK	Single-Family Attached	No	Yes	1	0	0	0	3	2016.16	20	19846.1
8AK	Single-Family Attached	Yes	Yes	0	0.599009	0.261893	0.139099	0	0	4	3449.09
8AK	Single-Family Detached	No	Yes	1	0	0	0	1	862.757	20	19846.1
8AK	Single-Family Detached	Yes	Yes	0	0.599009	0.261893	0.139099	0	0	4	3449.09
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Magnitude of the heating setpoint offset.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK
