Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage	Option=EnergyStar	Option=None	Option=Standard	Option=Void	source_count	source_weight	fallback_count	fallback_weight
None	200-300%	Single-Family Attached	Not Available	1970s	0	0	0	1	0.366398	1132.99	0.366398	1132.99
None	200-300%	Single-Family Attached	Not Available	1980s	0	0	0	1	0.403038	1402.14	0.403038	1402.14
None	200-300%	Single-Family Attached	Not Available	1990s	0	0	0	1	0.274799	1075.97	0.274799	1075.97
None	200-300%	Single-Family Attached	Not Available	2000s	0	0	0	1	0.183199	523.456	0.183199	523.456
None	200-300%	Single-Family Attached	Not Available	2010s	0	0	0	1	0.0549597	94.7797	0.329758	905.115
None	200-300%	Single-Family Attached	Not Available	<1940	0	0	0	1	0.366398	1274.28	0.366398	1274.28
None	200-300%	Single-Family Attached	Owner	1940s	0	1	0	0	0.134806	172.949	0.134806	172.949
None	200-300%	Single-Family Attached	Owner	1950s	0	1	0	0	0.0876242	237.132	0.0876242	237.132
None	200-300%	Single-Family Attached	Owner	1960s	0	1	0	0	0.134806	463.476	0.134806	463.476
None	200-300%	Single-Family Attached	Owner	1970s	0	1	0	0	0.134806	397.384	0.134806	397.384
None	200-300%	Single-Family Attached	Owner	1980s	0	1	0	0	0.148287	491.786	0.148287	491.786
None	200-300%	Single-Family Attached	Owner	1990s	0	1	0	0	0.101105	377.386	0.101105	377.386
None	200-300%	Single-Family Attached	Owner	2000s	0	1	0	0	0.0674032	183.597	0.0674032	183.597
None	200-300%	Single-Family Attached	Owner	2010s	0	1	0	0	0.020221	33.243	0.121326	317.46
None	200-300%	Single-Family Attached	Owner	<1940	0	1	0	0	0.134806	446.939	0.134806	446.939
None	200-300%	Single-Family Attached	Renter	1940s	0	1	0	0	0.0565876	81.9891	0.0565876	81.9891
None	200-300%	Single-Family Attached	Renter	1950s	0	1	0	0	0.0367819	112.416	0.0367819	112.416
None	200-300%	Single-Family Attached	Renter	1960s	0	1	0	0	0.0565876	219.718	0.0565876	219.718
None	200-300%	Single-Family Attached	Renter	1970s	0	1	0	0	0.0565876	188.386	0.0565876	188.386
None	200-300%	Single-Family Attached	Renter	1980s	0	1	0	0	0.0622464	233.139	0.0622464	233.139
None	200-300%	Single-Family Attached	Renter	1990s	0	1	0	0	0.0424407	178.906	0.0424407	178.906
None	200-300%	Single-Family Attached	Renter	2000s	0	1	0	0	0.0282938	87.0371	0.0282938	87.0371
None	200-300%	Single-Family Attached	Renter	2010s	0	1	0	0	0.00848814	15.7594	0.0509288	150.497
None	200-300%	Single-Family Attached	Renter	<1940	0	1	0	0	0.0565876	211.879	0.0565876	211.879
None	200-300%	Single-Family Detached	Not Available	1940s	0	0	0	1	1.2974	1840.52	1.2974	1840.52
None	200-300%	Single-Family Detached	Not Available	1950s	0	0	0	1	0.574797	3006.11	0.574797	3006.11
None	200-300%	Single-Family Detached	Not Available	1960s	0	0	0	1	0.426992	1680.46	0.426992	1680.46
None	200-300%	Single-Family Detached	Not Available	1970s	0	0	0	1	0.509106	2391.69	0.509106	2391.69
None	200-300%	Single-Family Detached	Not Available	1980s	0	0	0	1	0.509106	2054.91	0.509106	2054.91
None	200-300%	Single-Family Detached	Not Available	1990s	0	0	0	1	0.344878	1724.96	0.344878	1724.96
None	200-300%	Single-Family Detached	Not Available	2000s	0	0	0	1	0.279187	1020.72	0.279187	1020.72
None	200-300%	Single-Family Detached	Not Available	2010s	0	0	0	1	0.246342	722.402	0.246342	722.402
None	200-300%	Single-Family Detached	Not Available	<1940	0	0	0	1	1.2974	4756.33	1.2974	4756.33
None	200-300%	Single-Family Detached	Owner	1940s	0	1	0	0	1.00139	1388.69	1.00139	1388.69
None	200-300%	Single-Family Detached	Owner	1950s	0	1	0	0	0.443653	2268.15	0.443653	2268.15
None	200-300%	Single-Family Detached	Owner	1960s	0	1	0	0	0.329571	1267.93	0.329571	1267.93
None	200-300%	Single-Family Detached	Owner	1970s	0	1	0	0	0.39295	1804.55	0.39295	1804.55
None	200-300%	Single-Family Detached	Owner	1980s	0	1	0	0	0.39295	1550.45	0.39295	1550.45
None	200-300%	Single-Family Detached	Owner	1990s	0	1	0	0	0.266192	1301.5	0.266192	1301.5
None	200-300%	Single-Family Detached	Owner	2000s	0	1	0	0	0.215489	770.144	0.215489	770.144
None	200-300%	Single-Family Detached	Owner	2010s	0	1	0	0	0.190137	545.061	0.190137	545.061
None	200-300%	Single-Family Detached	Owner	<1940	0	1	0	0	1.00139	3588.7	1.00139	3588.7
None	200-300%	Single-Family Detached	Renter	1940s	0	1	0	0	0.0189913	31.7655	0.0189913	31.7655
None	200-300%	Single-Family Detached	Renter	1950s	0	1	0	0	0.00841386	51.8825	0.00841386	51.8825
None	200-300%	Single-Family Detached	Renter	1960s	0	1	0	0	0.00625029	29.0031	0.00625029	29.0031
None	200-300%	Single-Family Detached	Renter	1970s	0	1	0	0	0.00745227	41.2781	0.00745227	41.2781
None	200-300%	Single-Family Detached	Renter	1980s	0	1	0	0	0.00745227	35.4656	0.00745227	35.4656
None	200-300%	Single-Family Detached	Renter	1990s	0	1	0	0	0.00504831	29.7711	0.00504831	29.7711
None	200-300%	Single-Family Detached	Renter	2000s	0	1	0	0	0.00408673	17.6166	0.00408673	17.6166
None	200-300%	Single-Family Detached	Renter	2010s	0	1	0	0	0.00360594	12.4679	0.00360594	12.4679
None	200-300%	Single-Family Detached	Renter	<1940	0	1	0	0	0.0189913	82.0895	0.0189913	82.0895
None	300-400%	Mobile Home	Not Available	1940s	0	0	0	1	0.0109446	12.5681	0.552703	817.513
None	300-400%	Mobile Home	Not Available	1950s	0	0	0	1	0.0164169	161.366	0.279088	1435.39
None	300-400%	Mobile Home	Not Available	1960s	0	0	0	1	0.0601954	335.137	0.0601954	335.137
None	300-400%	Mobile Home	Not Available	1970s	0	0	0	1	0.0875569	460.43	0.0875569	460.43
None	300-400%	Mobile Home	Not Available	1980s	0	0	0	1	0.0930292	548.677	0.0930292	548.677
None	300-400%	Mobile Home	Not Available	1990s	0	0	0	1	0.07114	455.99	0.07114	455.99
None	300-400%	Mobile Home	Not Available	2000s	0	0	0	1	0.0547231	248.157	0.0547231	248.157
None	300-400%	Mobile Home	Not Available	2010s	0	0	0	1	0.0383061	209.678	0.136808	494.536
None	300-400%	Mobile Home	Not Available	<1940	0	0	0	1	0.0109446	32.4788	0.552703	2112.64
None	300-400%	Mobile Home	Owner	1940s	0	1	0	0	0.00879025	10.36	0.443908	673.887
None	300-400%	Mobile Home	Owner	1950s	0	1	0	0	0.0131854	133.016	0.224151	1183.21
None	300-400%	Mobile Home	Owner	1960s	0	1	0	0	0.0483464	276.258	0.0483464	276.258
None	300-400%	Mobile Home	Owner	1970s	0	1	0	0	0.070322	379.538	0.070322	379.538
None	300-400%	Mobile Home	Owner	1980s	0	1	0	0	0.0747171	452.282	0.0747171	452.282
None	300-400%	Mobile Home	Owner	1990s	0	1	0	0	0.0571366	375.879	0.0571366	375.879
None	300-400%	Mobile Home	Owner	2000s	0	1	0	0	0.0439512	204.56	0.0439512	204.56
None	300-400%	Mobile Home	Owner	2010s	0	1	0	0	0.0307659	172.84	0.109878	407.653
None	300-400%	Mobile Home	Owner	<1940	0	1	0	0	0.00879025	26.7727	0.443908	1741.48
None	300-400%	Mobile Home	Renter	1940s	0	1	0	0	0.000116286	0.106567	0.00587243	6.93188
None	300-400%	Mobile Home	Renter	1950s	0	1	0	0	0.000174429	1.36826	0.00296529	12.171
None	300-400%	Mobile Home	Renter	1960s	0	1	0	0	0.000639571	2.8417	0.000639571	2.8417
None	300-400%	Mobile Home	Renter	1970s	0	1	0	0	0.000930286	3.90409	0.000930286	3.90409
None	300-400%	Mobile Home	Renter	1980s	0	1	0	0	0.000988429	4.65236	0.000988429	4.65236
None	300-400%	Mobile Home	Renter	1990s	0	1	0	0	0.000755857	3.86644	0.000755857	3.86644
None	300-400%	Mobile Home	Renter	2000s	0	1	0	0	0.000581429	2.10418	0.000581429	2.10418
None	300-400%	Mobile Home	Renter	2010s	0	1	0	0	0.000407	1.77791	0.00145357	4.19328
None	300-400%	Mobile Home	Renter	<1940	0	1	0	0	0.000116286	0.275395	0.00587243	17.9136
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	1940s	0	0	0	1	0.929078	1684.47	0.929078	1684.47
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	1950s	0	0	0	1	0.387116	2621.17	0.387116	2621.17
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	1960s	0	0	0	1	0.526477	3199.55	0.526477	3199.55
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	1970s	0	0	0	1	0.712293	4191.78	0.712293	4191.78
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	1980s	0	0	0	1	0.526477	3414.45	0.526477	3414.45
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	1990s	0	0	0	1	0.348404	2254.27	0.348404	2254.27
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	2000s	0	0	0	1	0.240012	1202.18	0.240012	1202.18
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	1	0.10065	405.086	0.10065	405.086
None	300-400%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	1	0.929078	4353.06	0.929078	4353.06
None	300-400%	Multi-Family with 2 - 4 Units	Owner	1940s	0	1	0	0	0.0214197	33.7853	0.0214197	33.7853
None	300-400%	Multi-Family with 2 - 4 Units	Owner	1950s	0	1	0	0	0.00892489	52.5725	0.00892489	52.5725
None	300-400%	Multi-Family with 2 - 4 Units	Owner	1960s	0	1	0	0	0.0121378	64.1731	0.0121378	64.1731
None	300-400%	Multi-Family with 2 - 4 Units	Owner	1970s	0	1	0	0	0.0164218	84.0741	0.0164218	84.0741
None	300-400%	Multi-Family with 2 - 4 Units	Owner	1980s	0	1	0	0	0.0121378	68.4834	0.0121378	68.4834
None	300-400%	Multi-Family with 2 - 4 Units	Owner	1990s	0	1	0	0	0.0080324	45.2137	0.0080324	45.2137
None	300-400%	Multi-Family with 2 - 4 Units	Owner	2000s	0	1	0	0	0.00553343	24.112	0.00553343	24.112
None	300-400%	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	0	0.00232047	8.12478	0.00232047	8.12478
None	300-400%	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0	0.0214197	87.309	0.0214197	87.309
None	300-400%	Multi-Family with 2 - 4 Units	Renter	1940s	0	1	0	0	0.667674	1241.14	0.667674	1241.14
None	300-400%	Multi-Family with 2 - 4 Units	Renter	1950s	0	1	0	0	0.278198	1931.31	0.278198	1931.31
None	300-400%	Multi-Family with 2 - 4 Units	Renter	1960s	0	1	0	0	0.378349	2357.47	0.378349	2357.47
None	300-400%	Multi-Family with 2 - 4 Units	Renter	1970s	0	1	0	0	0.511883	3088.55	0.511883	3088.55
None	300-400%	Multi-Family with 2 - 4 Units	Renter	1980s	0	1	0	0	0.378349	2515.81	0.378349	2515.81
None	300-400%	Multi-Family with 2 - 4 Units	Renter	1990s	0	1	0	0	0.250378	1660.97	0.250378	1660.97
None	300-400%	Multi-Family with 2 - 4 Units	Renter	2000s	0	1	0	0	0.172482	885.778	0.172482	885.778
None	300-400%	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	0	0.0723314	298.472	0.0723314	298.472
None	300-400%	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0	0.667674	3207.39	0.667674	3207.39
None	300-400%	Multi-Family with 5+ Units	Not Available	1940s	0	0	0	1	1.74211	3805.26	1.74211	3805.26
None	300-400%	Multi-Family with 5+ Units	Not Available	1950s	0	0	0	1	0.828469	5875.18	0.828469	5875.18
None	300-400%	Multi-Family with 5+ Units	Not Available	1960s	0	0	0	1	1.54854	11156.7	1.54854	11156.7
None	300-400%	Multi-Family with 5+ Units	Not Available	1970s	0	0	0	1	2.11376	15470.3	2.11376	15470.3
None	300-400%	Multi-Family with 5+ Units	Not Available	1980s	0	0	0	1	1.37046	10187.5	1.37046	10187.5
None	300-400%	Multi-Family with 5+ Units	Not Available	1990s	0	0	0	1	0.696843	5112.89	0.696843	5112.89
None	300-400%	Multi-Family with 5+ Units	Not Available	2000s	0	0	0	1	0.65813	4487.56	0.65813	4487.56
None	300-400%	Multi-Family with 5+ Units	Not Available	2010s	0	0	0	1	0.394878	2562.35	0.394878	2562.35
None	300-400%	Multi-Family with 5+ Units	Not Available	<1940	0	0	0	1	1.74211	9833.65	1.74211	9833.65
None	300-400%	Multi-Family with 5+ Units	Owner	1940s	0	1	0	0	0.0391689	87.1812	0.0391689	87.1812
None	300-400%	Multi-Family with 5+ Units	Owner	1950s	0	1	0	0	0.018627	134.605	0.018627	134.605
None	300-400%	Multi-Family with 5+ Units	Owner	1960s	0	1	0	0	0.0348168	255.609	0.0348168	255.609
None	300-400%	Multi-Family with 5+ Units	Owner	1970s	0	1	0	0	0.0475249	354.436	0.0475249	354.436
None	300-400%	Multi-Family with 5+ Units	Owner	1980s	0	1	0	0	0.0308129	233.402	0.0308129	233.402
None	300-400%	Multi-Family with 5+ Units	Owner	1990s	0	1	0	0	0.0156676	117.14	0.0156676	117.14
None	300-400%	Multi-Family with 5+ Units	Owner	2000s	0	1	0	0	0.0147971	102.813	0.0147971	102.813
None	300-400%	Multi-Family with 5+ Units	Owner	2010s	0	1	0	0	0.00887828	58.7054	0.00887828	58.7054
None	300-400%	Multi-Family with 5+ Units	Owner	<1940	0	1	0	0	0.0391689	225.296	0.0391689	225.296
None	300-400%	Multi-Family with 5+ Units	Renter	1940s	0	1	0	0	1.25881	2740.49	1.25881	2740.49
None	300-400%	Multi-Family with 5+ Units	Renter	1950s	0	1	0	0	0.598635	4231.22	0.598635	4231.22
None	300-400%	Multi-Family with 5+ Units	Renter	1960s	0	1	0	0	1.11894	8034.92	1.11894	8034.92
None	300-400%	Multi-Family with 5+ Units	Renter	1970s	0	1	0	0	1.52736	11141.5	1.52736	11141.5
None	300-400%	Multi-Family with 5+ Units	Renter	1980s	0	1	0	0	0.990265	7336.86	0.990265	7336.86
None	300-400%	Multi-Family with 5+ Units	Renter	1990s	0	1	0	0	0.503525	3682.23	0.503525	3682.23
None	300-400%	Multi-Family with 5+ Units	Renter	2000s	0	1	0	0	0.475551	3231.87	0.475551	3231.87
None	300-400%	Multi-Family with 5+ Units	Renter	2010s	0	1	0	0	0.285331	1845.37	0.285331	1845.37
None	300-400%	Multi-Family with 5+ Units	Renter	<1940	0	1	0	0	1.25881	7082.05	1.25881	7082.05
None	300-400%	Single-Family Attached	Not Available	1940s	0	0	0	1	0.260493	354.633	0.260493	354.633
None	300-400%	Single-Family Attached	Not Available	1950s	0	0	0	1	0.16932	486.241	0.16932	486.241
None	300-400%	Single-Family Attached	Not Available	1960s	0	0	0	1	0.260493	950.363	0.260493	950.363
None	300-400%	Single-Family Attached	Not Available	1970s	0	0	0	1	0.260493	814.841	0.260493	814.841
None	300-400%	Single-Family Attached	Not Available	1980s	0	0	0	1	0.286542	1008.41	0.286542	1008.41
None	300-400%	Single-Family Attached	Not Available	1990s	0	0	0	1	0.19537	773.835	0.19537	773.835
None	300-400%	Single-Family Attached	Not Available	2000s	0	0	0	1	0.130246	376.468	0.130246	376.468
None	300-400%	Single-Family Attached	Not Available	2010s	0	0	0	1	0.0390739	68.1652	0.234444	650.955
None	300-400%	Single-Family Attached	Not Available	<1940	0	0	0	1	0.260493	916.454	0.260493	916.454
None	300-400%	Single-Family Attached	Owner	1940s	0	1	0	0	0.104461	139.616	0.104461	139.616
None	300-400%	Single-Family Attached	Owner	1950s	0	1	0	0	0.0678999	191.429	0.0678999	191.429
None	300-400%	Single-Family Attached	Owner	1960s	0	1	0	0	0.104461	374.15	0.104461	374.15
None	300-400%	Single-Family Attached	Owner	1970s	0	1	0	0	0.104461	320.796	0.104461	320.796
None	300-400%	Single-Family Attached	Owner	1980s	0	1	0	0	0.114907	397.003	0.114907	397.003
None	300-400%	Single-Family Attached	Owner	1990s	0	1	0	0	0.078346	304.652	0.078346	304.652
None	300-400%	Single-Family Attached	Owner	2000s	0	1	0	0	0.0522307	148.212	0.0522307	148.212
None	300-400%	Single-Family Attached	Owner	2010s	0	1	0	0	0.0156692	26.8361	0.0940152	256.276
None	300-400%	Single-Family Attached	Owner	<1940	0	1	0	0	0.104461	360.801	0.104461	360.801
None	300-400%	Single-Family Attached	Renter	1940s	0	1	0	0	0.0350224	49.2211	0.0350224	49.2211
None	300-400%	Single-Family Attached	Renter	1950s	0	1	0	0	0.0227646	67.4875	0.0227646	67.4875
None	300-400%	Single-Family Attached	Renter	1960s	0	1	0	0	0.0350224	131.905	0.0350224	131.905
None	300-400%	Single-Family Attached	Renter	1970s	0	1	0	0	0.0350224	113.095	0.0350224	113.095
None	300-400%	Single-Family Attached	Renter	1980s	0	1	0	0	0.0385247	139.962	0.0385247	139.962
None	300-400%	Single-Family Attached	Renter	1990s	0	1	0	0	0.0262668	107.404	0.0262668	107.404
None	300-400%	Single-Family Attached	Renter	2000s	0	1	0	0	0.0175112	52.2516	0.0175112	52.2516
None	300-400%	Single-Family Attached	Renter	2010s	0	1	0	0	0.00525337	9.46095	0.0315202	90.3489
None	300-400%	Single-Family Attached	Renter	<1940	0	1	0	0	0.0350224	127.199	0.0350224	127.199
None	300-400%	Single-Family Detached	Not Available	1940s	0	0	0	1	1.06846	1435.65	1.06846	1435.65
None	300-400%	Single-Family Detached	Not Available	1950s	0	0	0	1	0.47337	2344.84	0.47337	2344.84
None	300-400%	Single-Family Detached	Not Available	1960s	0	0	0	1	0.351646	1310.81	0.351646	1310.81
None	300-400%	Single-Family Detached	Not Available	1970s	0	0	0	1	0.41927	1865.58	0.41927	1865.58
None	300-400%	Single-Family Detached	Not Available	1980s	0	0	0	1	0.41927	1602.88	0.41927	1602.88
None	300-400%	Single-Family Detached	Not Available	1990s	0	0	0	1	0.284022	1345.51	0.284022	1345.51
None	300-400%	Single-Family Detached	Not Available	2000s	0	0	0	1	0.229922	796.186	0.229922	796.186
None	300-400%	Single-Family Detached	Not Available	2010s	0	0	0	1	0.202873	563.492	0.202873	563.492
None	300-400%	Single-Family Detached	Not Available	<1940	0	0	0	1	1.06846	3710.06	1.06846	3710.06
None	300-400%	Single-Family Detached	Owner	1940s	0	1	0	0	0.903842	1204.43	0.903842	1204.43
None	300-400%	Single-Family Detached	Owner	1950s	0	1	0	0	0.400437	1967.19	0.400437	1967.19
None	300-400%	Single-Family Detached	Owner	1960s	0	1	0	0	0.297467	1099.69	0.297467	1099.69
None	300-400%	Single-Family Detached	Owner	1970s	0	1	0	0	0.354672	1565.11	0.354672	1565.11
None	300-400%	Single-Family Detached	Owner	1980s	0	1	0	0	0.354672	1344.72	0.354672	1344.72
None	300-400%	Single-Family Detached	Owner	1990s	0	1	0	0	0.240262	1128.81	0.240262	1128.81
None	300-400%	Single-Family Detached	Owner	2000s	0	1	0	0	0.194498	667.954	0.194498	667.954
None	300-400%	Single-Family Detached	Owner	2010s	0	1	0	0	0.171616	472.737	0.171616	472.737
None	300-400%	Single-Family Detached	Owner	<1940	0	1	0	0	0.903842	3112.52	0.903842	3112.52
None	300-400%	Single-Family Detached	Renter	1940s	0	1	0	0	0.00686522	10.145	0.00686522	10.145
None	300-400%	Single-Family Detached	Renter	1950s	0	1	0	0	0.00304155	16.5698	0.00304155	16.5698
None	300-400%	Single-Family Detached	Renter	1960s	0	1	0	0	0.00225944	9.26277	0.00225944	9.26277
None	300-400%	Single-Family Detached	Renter	1970s	0	1	0	0	0.00269395	13.183	0.00269395	13.183
None	300-400%	Single-Family Detached	Renter	1980s	0	1	0	0	0.00269395	11.3267	0.00269395	11.3267
None	300-400%	Single-Family Detached	Renter	1990s	0	1	0	0	0.00182493	9.50803	0.00182493	9.50803
None	300-400%	Single-Family Detached	Renter	2000s	0	1	0	0	0.00147733	5.62623	0.00147733	5.62623
None	300-400%	Single-Family Detached	Renter	2010s	0	1	0	0	0.00130352	3.9819	0.00130352	3.9819
None	300-400%	Single-Family Detached	Renter	<1940	0	1	0	0	0.00686522	26.217	0.00686522	26.217
None	400%+	Mobile Home	Not Available	1940s	0	0	0	1	0.0147764	17.2071	0.746207	1119.27
None	400%+	Mobile Home	Not Available	1950s	0	0	0	1	0.0221646	220.928	0.376798	1965.21
None	400%+	Mobile Home	Not Available	1960s	0	0	0	1	0.0812701	458.84	0.0812701	458.84
None	400%+	Mobile Home	Not Available	1970s	0	0	0	1	0.118211	630.38	0.118211	630.38
None	400%+	Mobile Home	Not Available	1980s	0	0	0	1	0.125599	751.201	0.125599	751.201
None	400%+	Mobile Home	Not Available	1990s	0	0	0	1	0.0960464	624.302	0.0960464	624.302
None	400%+	Mobile Home	Not Available	2000s	0	0	0	1	0.0738819	339.756	0.0738819	339.756
None	400%+	Mobile Home	Not Available	2010s	0	0	0	1	0.0517173	287.073	0.184705	677.076
None	400%+	Mobile Home	Not Available	<1940	0	0	0	1	0.0147764	44.4671	0.746207	2892.44
None	400%+	Mobile Home	Owner	1940s	0	1	0	0	0.0122018	14.2733	0.616191	928.432
None	400%+	Mobile Home	Owner	1950s	0	1	0	0	0.0183027	183.26	0.311146	1630.14
None	400%+	Mobile Home	Owner	1960s	0	1	0	0	0.0671099	380.608	0.0671099	380.608
None	400%+	Mobile Home	Owner	1970s	0	1	0	0	0.0976144	522.9	0.0976144	522.9
None	400%+	Mobile Home	Owner	1980s	0	1	0	0	0.103715	623.121	0.103715	623.121
None	400%+	Mobile Home	Owner	1990s	0	1	0	0	0.0793117	517.858	0.0793117	517.858
None	400%+	Mobile Home	Owner	2000s	0	1	0	0	0.061009	281.827	0.061009	281.827
None	400%+	Mobile Home	Owner	2010s	0	1	0	0	0.0427063	238.127	0.152522	561.634
None	400%+	Mobile Home	Owner	<1940	0	1	0	0	0.0122018	36.8854	0.616191	2399.28
None	400%+	Mobile Home	Renter	1940s	0	1	0	0	0.000123061	0.137006	0.00621459	8.91184
None	400%+	Mobile Home	Renter	1950s	0	1	0	0	0.000184592	1.75908	0.00313806	15.6474
None	400%+	Mobile Home	Renter	1960s	0	1	0	0	0.000676837	3.65338	0.000676837	3.65338
None	400%+	Mobile Home	Renter	1970s	0	1	0	0	0.00098449	5.01922	0.00098449	5.01922
None	400%+	Mobile Home	Renter	1980s	0	1	0	0	0.00104602	5.98122	0.00104602	5.98122
None	400%+	Mobile Home	Renter	1990s	0	1	0	0	0.000799898	4.97082	0.000799898	4.97082
None	400%+	Mobile Home	Renter	2000s	0	1	0	0	0.000615306	2.70521	0.000615306	2.70521
None	400%+	Mobile Home	Renter	2010s	0	1	0	0	0.000430715	2.28573	0.00153827	5.39102
None	400%+	Mobile Home	Renter	<1940	0	1	0	0	0.000123061	0.354056	0.00621459	23.0302
None	400%+	Multi-Family with 2 - 4 Units	Not Available	1940s	0	0	0	1	2.99052	7082.43	2.99052	7082.43
None	400%+	Multi-Family with 2 - 4 Units	Not Available	1950s	0	0	0	1	1.24605	11020.8	1.24605	11020.8
None	400%+	Multi-Family with 2 - 4 Units	Not Available	1960s	0	0	0	1	1.69463	13452.6	1.69463	13452.6
None	400%+	Multi-Family with 2 - 4 Units	Not Available	1970s	0	0	0	1	2.29273	17624.5	2.29273	17624.5
None	400%+	Multi-Family with 2 - 4 Units	Not Available	1980s	0	0	0	1	1.69463	14356.2	1.69463	14356.2
None	400%+	Multi-Family with 2 - 4 Units	Not Available	1990s	0	0	0	1	1.12145	9478.16	1.12145	9478.16
None	400%+	Multi-Family with 2 - 4 Units	Not Available	2000s	0	0	0	1	0.772551	5054.6	0.772551	5054.6
None	400%+	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	1	0.323973	1703.2	0.323973	1703.2
None	400%+	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	1	2.99052	18302.6	2.99052	18302.6
None	400%+	Multi-Family with 2 - 4 Units	Owner	1940s	0	1	0	0	0.132439	322.902	0.132439	322.902
None	400%+	Multi-Family with 2 - 4 Units	Owner	1950s	0	1	0	0	0.0551828	502.46	0.0551828	502.46
None	400%+	Multi-Family with 2 - 4 Units	Owner	1960s	0	1	0	0	0.0750486	613.332	0.0750486	613.332
None	400%+	Multi-Family with 2 - 4 Units	Owner	1970s	0	1	0	0	0.101536	803.535	0.101536	803.535
None	400%+	Multi-Family with 2 - 4 Units	Owner	1980s	0	1	0	0	0.0750486	654.527	0.0750486	654.527
None	400%+	Multi-Family with 2 - 4 Units	Owner	1990s	0	1	0	0	0.0496645	432.128	0.0496645	432.128
None	400%+	Multi-Family with 2 - 4 Units	Owner	2000s	0	1	0	0	0.0342133	230.449	0.0342133	230.449
None	400%+	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	0	0.0143475	77.6523	0.0143475	77.6523
None	400%+	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0	0.132439	834.452	0.132439	834.452
None	400%+	Multi-Family with 2 - 4 Units	Renter	1940s	0	1	0	0	1.86416	4380.81	1.86416	4380.81
None	400%+	Multi-Family with 2 - 4 Units	Renter	1950s	0	1	0	0	0.776733	6816.88	0.776733	6816.88
None	400%+	Multi-Family with 2 - 4 Units	Renter	1960s	0	1	0	0	1.05636	8321.08	1.05636	8321.08
None	400%+	Multi-Family with 2 - 4 Units	Renter	1970s	0	1	0	0	1.42919	10901.6	1.42919	10901.6
None	400%+	Multi-Family with 2 - 4 Units	Renter	1980s	0	1	0	0	1.05636	8879.98	1.05636	8879.98
None	400%+	Multi-Family with 2 - 4 Units	Renter	1990s	0	1	0	0	0.69906	5862.68	0.69906	5862.68
None	400%+	Multi-Family with 2 - 4 Units	Renter	2000s	0	1	0	0	0.481574	3126.51	0.481574	3126.51
None	400%+	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	0	0.201951	1053.51	0.201951	1053.51
None	400%+	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0	1.86416	11321	1.86416	11321
None	400%+	Multi-Family with 5+ Units	Not Available	1940s	0	0	0	1	15.077	37380.2	15.077	37380.2
None	400%+	Multi-Family with 5+ Units	Not Available	1950s	0	0	0	1	7.16993	57713.8	7.16993	57713.8
None	400%+	Multi-Family with 5+ Units	Not Available	1960s	0	0	0	1	13.4017	109596	13.4017	109596
None	400%+	Multi-Family with 5+ Units	Not Available	1970s	0	0	0	1	18.2934	151970	18.2934	151970
None	400%+	Multi-Family with 5+ Units	Not Available	1980s	0	0	0	1	11.8605	100075	11.8605	100075
None	400%+	Multi-Family with 5+ Units	Not Available	1990s	0	0	0	1	6.03078	50225.6	6.03078	50225.6
None	400%+	Multi-Family with 5+ Units	Not Available	2000s	0	0	0	1	5.69574	44082.7	5.69574	44082.7
None	400%+	Multi-Family with 5+ Units	Not Available	2010s	0	0	0	1	3.41744	25170.8	3.41744	25170.8
None	400%+	Multi-Family with 5+ Units	Not Available	<1940	0	0	0	1	15.077	96599.1	15.077	96599.1
None	400%+	Multi-Family with 5+ Units	Owner	1940s	0	1	0	0	0.760329	2090.32	0.760329	2090.32
None	400%+	Multi-Family with 5+ Units	Owner	1950s	0	1	0	0	0.361579	3227.39	0.361579	3227.39
None	400%+	Multi-Family with 5+ Units	Owner	1960s	0	1	0	0	0.675848	6128.68	0.675848	6128.68
None	400%+	Multi-Family with 5+ Units	Owner	1970s	0	1	0	0	0.922532	8498.24	0.922532	8498.24
None	400%+	Multi-Family with 5+ Units	Owner	1980s	0	1	0	0	0.598125	5596.23	0.598125	5596.23
None	400%+	Multi-Family with 5+ Units	Owner	1990s	0	1	0	0	0.304132	2808.64	0.304132	2808.64
None	400%+	Multi-Family with 5+ Units	Owner	2000s	0	1	0	0	0.287235	2465.13	0.287235	2465.13
